Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000104371	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day'	-6.6	5.68283804545876e-16	
ENSG00000104371	homo sapiens	E-GEOD-48433	'SW-620; adenocarcinoma of colon; P10' vs 'SW-620; adenocarcinoma of colon; P0'	5.8	0.0246497891910866	
ENSG00000104371	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue'	5.5	0.00000111636711217452	
ENSG00000104371	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-4.8	5.31402825360186e-15	
ENSG00000104371	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	-4.8	3.03023691346983e-11	
ENSG00000104371	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-4.3	1.7692493977155e-11	
ENSG00000104371	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'scrambled siRNA'	4.2	1.49089394326972e-28	
ENSG00000104371	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	4.2	0.00000244529464541464	
ENSG00000104371	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl'	-4	8.44060640906978e-24	
ENSG00000104371	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.9	3.51073729720927e-10	
ENSG00000104371	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	-3.8	1.89040083206545e-10	
ENSG00000104371	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	-3.6	2.43894520458549e-15	
ENSG00000104371	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA'	-3.6	2.83627485227799e-10	
ENSG00000104371	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 1 day' vs 'dimethyl sulfoxide; 1 day'	-3.4	7.78145027973092e-11	
ENSG00000104371	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-3.3	1.2965074503156e-9	
ENSG00000104371	homo sapiens	E-GEOD-44097	'siRNA beta-catenin' vs 'siRNA beta-galactosidase (control)' in 'SW480'	-3.2	0.000813745723165792	
ENSG00000104371	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'CFIm25 siRNA'	2.9	4.77332956689669e-15	
ENSG00000104371	homo sapiens	E-GEOD-95132	'primary tumor' vs 'adjacent non-tumor colon' in 'colorectal cancer'	2.8	0.003569674997201	
ENSG00000104371	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	2.7	0.00325934132409161	
ENSG00000104371	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2.2	0.00640755907927626	
ENSG00000104371	homo sapiens	E-MTAB-9207	'CFIm25 siRNA' vs 'scrambled siRNA' in 'KRAS-G13D expression'	-2.1	2.17195433031721e-32	
ENSG00000104371	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'scrambled siRNA'	-2.1	0.0000990760306863164	
ENSG00000104371	homo sapiens	E-GEOD-42937	'doxycycline-mediated expression of dominant-negative Sox2' vs 'control' at '24 hour'	2	0.0000751738530883589	
ENSG00000104371	homo sapiens	E-GEOD-50760	'colorectal cancer metastatic in the liver' vs 'normal'	2	0.0102361467750491	
ENSG00000104371	homo sapiens	E-MTAB-7354	'hypoxia' vs 'normoxia' at '7 day'	1.9	0.0000216951404498468	
ENSG00000104371	homo sapiens	E-MTAB-6756	'siRNA double knockdown of HNF4A and GATA6' vs 'scrambled siRNA'	-1.8	0.0000193079034524747	
ENSG00000104371	homo sapiens	E-MTAB-7354	'hypoxia' vs 'normoxia' at '3 day'	1.8	0.0000481893148652734	
ENSG00000104371	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Formalin-fixed paraffin-embedded tissue'	1.8	0.0000851016712196558	
ENSG00000104371	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.8	0.00188031849345862	
ENSG00000104371	homo sapiens	E-GEOD-44077	'lung carcinoma' vs 'normal'	1.7	5.46133734469257e-8	
ENSG00000104371	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P10' vs 'HCC-2998; colon carcinoma; P0'	-1.6	0.0000228861047590014	
ENSG00000104371	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day'	-1.6	0.00428572486021513	
ENSG00000104371	homo sapiens	E-MTAB-8579	'ERBB2 siRNA' vs 'scrambled siRNA'	-1.5	0.00146844574715604	
ENSG00000104371	homo sapiens	E-MTAB-6756	'siRNA knockdown of GATA6' vs 'scrambled siRNA'	-1.4	0.0000197815568081092	
ENSG00000104371	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	1.3	0.0248116432008118	
ENSG00000104371	homo sapiens	E-GEOD-42937	'doxycycline-mediated expression of dominant-negative Sox2' vs 'control' at '18 hour'	1.2	0.00583888701536101	
ENSG00000104371	homo sapiens	E-MTAB-7847	'AD80; 0.05 micromolar' vs 'vehicle' in 'HuH-7'	1.1	0.0239200010268769	
