Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000107404	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2.9	5.76332383366693e-7	
ENSG00000107404	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A'	2.3	4.70080622791958e-55	
ENSG00000107404	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	2.2	3.24681766862815e-23	
ENSG00000107404	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	2.1	1.81429107483743e-38	
ENSG00000107404	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	2.1	1.43360719140721e-31	
ENSG00000107404	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.1	0.0000557402478149135	
ENSG00000107404	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-2	0.0000343525322944604	
ENSG00000107404	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.9	0.000812591178510191	
ENSG00000107404	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	1.8	2.20463451639255e-14	
ENSG00000107404	homo sapiens	E-MTAB-7745	'dexamethasone; 1 micromolar' vs 'vehicle'	-1.7	1.62169618404806e-21	
ENSG00000107404	homo sapiens	E-MTAB-8701	'myxosarcoma' vs 'normal'	-1.7	5.4948440083762e-8	
ENSG00000107404	homo sapiens	E-MTAB-7061	'HDAC1 homozygous knockout' vs 'wild type'	-1.7	0.0000998600373348484	
ENSG00000107404	homo sapiens	E-MTAB-7061	'BRD9 homozygous knockout' vs 'wild type'	-1.6	0.0285041853538916	
ENSG00000107404	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A'	1.5	3.06399065616621e-25	
