Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000157240	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	3.9	4.49433234334808e-7	
ENSG00000157240	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0'	3.6	4.80579894064743e-7	
ENSG00000157240	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0'	3.5	5.90809442753516e-9	
ENSG00000157240	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P01' vs '786-0; renal adenocarcinoma; P0'	3.4	7.78664144878816e-8	
ENSG00000157240	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	-3.3	2.12662798900637e-8	
ENSG00000157240	homo sapiens	E-GEOD-48433	'AsPC-1; pancreatic adenocarcinoma; P04' vs 'AsPC-1; pancreatic adenocarcinoma; P0'	2.7	0.00000696217489347156	
ENSG00000157240	homo sapiens	E-GEOD-15641	'papillary renal cell carcinoma' vs 'normal'	2.5	2.40773748135676e-11	
ENSG00000157240	homo sapiens	E-GEOD-30296	'stable expression of BRCA1' vs 'empty vector'	2.5	1.01844158247075e-8	
ENSG00000157240	homo sapiens	E-GEOD-11151	'chromophobe renal cell carcinoma' vs 'normal' in 'adult'	-2.5	0.00738442135784629	
ENSG00000157240	homo sapiens	E-CURD-45	'neoplasm' vs 'normal tissue adjacent to neoplasm'	2.4	4.37425470007553e-8	
ENSG00000157240	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-2.4	0.0000690654455843033	
ENSG00000157240	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2.4	0.000551501880335523	
ENSG00000157240	homo sapiens	E-GEOD-37003	'anti-m6A' vs 'none'	2.4	0.0135565884821482	
ENSG00000157240	homo sapiens	E-GEOD-48433	'AsPC-1; pancreatic adenocarcinoma; P10' vs 'AsPC-1; pancreatic adenocarcinoma; P0'	2.3	0.0000207193060883413	
ENSG00000157240	homo sapiens	E-MEXP-3982	'MCF-7; docetaxel resistant' vs 'MCF-7; control'	2.3	0.0000990910925029563	
ENSG00000157240	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	-2.2	0.00000184346939881361	
ENSG00000157240	homo sapiens	E-GEOD-16089	'resistant to methotrexate' vs 'sensitive to methotrexate'	2.2	0.00000301256046298543	
