Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000174804,FZD4,FZD4,homo sapiens,E-MTAB-11620,'poly I:C' vs 'mock' in 'ncgRNA',6.4,0.0020056487382486,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',5.6,9.54773233535592e-9,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',5.2,5.0227725690282e-8,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-4.3,1.24750611196799e-16,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-4.1,3.1808639527172e-13,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',4,1.50628648196633e-24,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',3.7,0.0000113159268386165,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-MEXP-3025,'PE e/10 adherent culture' vs 'sphere culture',-3.4,1.73122986370006e-7,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-MTAB-9712,'RRx-1; 20 micromolar' vs 'none',-3.2,2.55483504365027e-26,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-3.1,4.20465575928531e-11,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-GEOD-40776,'expressing O6-methylguanine methyltransferase' vs 'control',-3.1,0.0116122601391199,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',2.8,1.69916141736158e-25,
ENSG00000174804,FZD4,FZD4,homo sapiens,E-MTAB-5102,'154; 1 micromolar' vs 'DMSO',-2.7,1.60710043569962e-8,
