Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',8.9,9.02180641289935e-13,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',8.7,5.54313985739606e-13,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',7.5,1.22920315430486e-9,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A-H1047R',6.8,3.66517892859774e-58,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A-H1047R',6.4,8.73875593897964e-27,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-5.5,1.02513946427204e-9,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A',3.9,3.95391875278131e-74,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-48121,'GLV-1h153' at '24 hour' vs 'control',3.4,5.36313953428112e-8,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-25412,'resveratrol; 150 millimolar' vs 'vehicle; ',-3.4,0.00000144062197685182,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-41678,'Cal51; cocultured with fibroblast HFF1' vs 'Cal51; normal',-3.1,3.01825585779382e-10,
ENSG00000278463,H2AC4,H2AC4 H2AC8,homo sapiens,E-GEOD-48121,'GLV-1h153' at '6 hour' vs 'control',3,4.35362727098324e-7,
