Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000105968	homo sapiens	E-MTAB-7169	'lipid; 10 volume percent' vs 'control'	-3.3	0.00000501832977785108	
ENSG00000105968	homo sapiens	E-GEOD-8717	'herpes simplex virus G207' vs 'none'	-2.5	0.00163217774487761	
ENSG00000105968	homo sapiens	E-GEOD-7307	'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'	-2.4	7.09225610696333e-7	
ENSG00000105968	homo sapiens	E-GEOD-8961	'human metapneumovirus' at '72 hour' vs 'none' at '48 hour'	-2.4	0.000152437876594285	
ENSG00000105968	homo sapiens	E-GEOD-22866	'glioblastoma' vs 'control'	2.3	1.52884624184062e-11	
ENSG00000105968	homo sapiens	E-GEOD-38678	'CLF1' vs 'CLS1; co-culture with CAF to generate sphere'	-2.3	6.06408577277022e-8	
ENSG00000105968	homo sapiens	E-MTAB-3649	'Listeria monocytogenes EGD-e' vs 'none'	-2	2.45024527721137e-46	
ENSG00000105968	homo sapiens	E-GEOD-39091	'Nutlin; 5 micromolar' vs 'DMSO; 0.065 percent' in 'GL2'	-2	6.34505861243154e-8	
ENSG00000105968	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	-2	0.00000161593342255631	
ENSG00000105968	homo sapiens	E-GEOD-8961	'human metapneumovirus' at '48 hour' vs 'none' at '48 hour'	-2	0.000108031888293349	
ENSG00000105968	homo sapiens	E-GEOD-57463	'SOX9 overexpression' vs 'control'	-2	0.00458724922726838	
ENSG00000105968	homo sapiens	E-GEOD-10879	'MCF-7 clone 2A' vs 'MCF-7'	1.9	0.00000862337537770729	
ENSG00000105968	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	-1.9	0.0000170405071689517	
ENSG00000105968	homo sapiens	E-GEOD-9350	'hypoxia' vs 'normal atmospheric oxygen pressure' in 'high metastatic cell line'	-1.9	0.00295086949871183	
ENSG00000105968	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	-1.8	0.000443711111786079	
ENSG00000105968	homo sapiens	E-GEOD-39091	'Daunorubicin; 100 nanomolar' vs 'DMSO; 0.065 percent' in 'GL2'	-1.7	2.77368244677397e-9	
ENSG00000105968	homo sapiens	E-MEXP-1509	'shZBTB4' vs 'scrambled control'	-1.7	0.0000759060629533225	
ENSG00000105968	homo sapiens	E-GEOD-38678	'CLS1; 6 passages' vs 'CLS1; co-culture with CAF to generate sphere'	-1.6	1.16528034044118e-7	
ENSG00000105968	homo sapiens	E-MEXP-1482	'miR15a/miR16-1' vs 'empty vector'	-1.6	0.0000496271643127471	
ENSG00000105968	homo sapiens	E-GEOD-9350	'hypoxia' vs 'normal atmospheric oxygen pressure' in 'low metastatic cell line'	-1.6	0.00761411998065054	
ENSG00000105968	homo sapiens	E-GEOD-63252	'wild type; tunicamycin' vs 'wild type; control'	1.6	0.027250857271004	
ENSG00000105968	homo sapiens	E-GEOD-29406	'control media in hypoxia (1% pO2)' vs 'control'	-1.5	7.20737773209971e-8	
ENSG00000105968	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0'	1.5	5.13285375573403e-7	
ENSG00000105968	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	-1.5	0.00000205560286824821	
ENSG00000105968	homo sapiens	E-GEOD-52989	'8 hour' vs '0 hour'	-1.5	0.0000177613501543377	
ENSG00000105968	homo sapiens	E-GEOD-15799	'NS398 100 micromolar' vs 'DMSO'	-1.5	0.0000445772370766065	
ENSG00000105968	homo sapiens	E-GEOD-35493	'atypical teratoid / rhabdoid tumor' vs 'normal'	-1.5	0.000546812963613909	
ENSG00000105968	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	1.5	0.0230740233867073	
ENSG00000105968	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	1.4	2.07699290252474e-27	
ENSG00000105968	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	-1.4	0.00000405212312194822	
ENSG00000105968	homo sapiens	E-GEOD-23362	'SDC1-siRNA' vs 'control'	-1.4	0.0000079358060150947	
ENSG00000105968	homo sapiens	E-GEOD-45417	'PMA' vs 'vehicle' in 'ZXDC1 knockdown'	-1.4	0.000221518394346966	
ENSG00000105968	homo sapiens	E-GEOD-6691	'multiple myeloma' vs 'normal' in 'plasma cells'	1.4	0.00142122496617352	
ENSG00000105968	homo sapiens	E-GEOD-41678	'Cal51; cocultured with fibroblast HFF1' vs 'Cal51; normal'	-1.3	1.54060446848891e-8	
ENSG00000105968	homo sapiens	E-GEOD-31782	'JMJD6 over-expressed; MCF-7' vs 'control; MCF-7'	1.3	0.00000115397721307524	
ENSG00000105968	homo sapiens	E-GEOD-28542	'7.5 micromolar CG-1521' vs 'vehicle' in 'SUM149PT'	-1.3	0.00000179857387850062	
ENSG00000105968	homo sapiens	E-GEOD-28542	'10 nanomolar 17beta-estradiol and 7.5 micromolar CG-1521' vs 'vehicle' in 'SUM149PT'	-1.3	0.000032540166225985	
ENSG00000105968	homo sapiens	E-MEXP-2351	'subependymal giant cell astrocytoma' vs 'normal'	-1.3	0.0181830088287892	
ENSG00000105968	homo sapiens	E-GEOD-6691	'Waldenstrons macroglobulinemia' vs 'normal' in 'plasma cells'	1.3	0.0189344330967992	
ENSG00000105968	homo sapiens	E-MTAB-7847	'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7'	-1.2	1.42803262717798e-172	
ENSG00000105968	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	-1.2	2.8291410128116e-127	
ENSG00000105968	homo sapiens	E-MTAB-5175	'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type'	-1.2	1.61646768588433e-54	
ENSG00000105968	homo sapiens	E-GEOD-40564	'PIK75; 100 nanomolar' vs 'DMSO'	-1.2	4.88666810411824e-7	
ENSG00000105968	homo sapiens	E-GEOD-48121	'GLV-1h153' at '24 hour' vs 'control'	-1.2	0.00000116434908606376	
ENSG00000105968	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	1.2	0.00000210717276818707	
ENSG00000105968	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'HCC827'	1.2	0.00000347200485118553	
ENSG00000105968	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0'	1.2	0.000031296698724285	
ENSG00000105968	homo sapiens	E-GEOD-8961	'human metapneumovirus' at '24 hour' vs 'none' at '48 hour'	-1.2	0.000500038062865426	
ENSG00000105968	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	1.2	0.000515296061141976	
ENSG00000105968	homo sapiens	E-GEOD-6691	'chronic lymphocytic leukemia' vs 'normal' in 'B lymphocytes'	1.2	0.00492896872403123	
ENSG00000105968	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	-1.2	0.00683800331276506	
ENSG00000105968	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Formalin-fixed paraffin-embedded tissue'	-1.2	0.0218530670715068	
ENSG00000105968	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day'	-1.1	5.91658942628476e-22	
ENSG00000105968	homo sapiens	E-MTAB-7284	'TIGAR knockdown' vs 'wild type'	-1.1	8.08652109094407e-17	
ENSG00000105968	homo sapiens	E-GEOD-38959	'breast cancer; breast' vs 'normal; breast'	1.1	1.85285011725406e-7	
ENSG00000105968	homo sapiens	E-GEOD-32526	'S2N; tumorigenic; spheres' vs 'S2; non-tumorigenic; spheres'	1.1	2.39863784188305e-7	
ENSG00000105968	homo sapiens	E-TABM-868	'GAM overexpression' vs 'wild type' in 'lipopolysaccharide; 100 nanogram per milliliter'	-1.1	0.0000280048391099327	
ENSG00000105968	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day'	-1.1	0.000038372630765811	
ENSG00000105968	homo sapiens	E-MEXP-1996	'ACO2-V5 overexpression 
