Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A-H1047R',4.7,1.12224569294116e-58,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',4.4,5.57588664528319e-12,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'MTF2 homozygous knockout' vs 'wild type',-4.4,0.0000164920167696633,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'DNMT1 homozygous knockout' vs 'wild type',-4.2,0.000364260232856511,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'RIPK2 homozygous knockout' vs 'wild type',-4.1,0.00819201398949256,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A-H1047R',4,7.95891567815368e-35,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'BRD9 homozygous knockout' vs 'wild type',-4,0.00911290905803794,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',3.9,6.22711293207987e-7,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',3.8,1.37325620224191e-68,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'HDAC1 homozygous knockout' vs 'wild type',-3.8,0.00753836713605961,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'BLVRB homozygous knockout' vs 'wild type',-3.8,0.010180547898802,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'BAZ2A homozygous knockout' vs 'wild type',-3.8,0.015108261849675,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'BRD3 homozygous knockout' vs 'wild type',-3.7,0.00844568938030752,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'UCHL1 homozygous knockout' vs 'wild type',-3.6,0.0239094713653019,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'KDM1A homozygous knockout' vs 'wild type',-3.6,0.0285896297488356,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'EP300 homozygous knockout' vs 'wild type',-3.5,0.043267482440457,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'ATAD2 homozygous knockout' vs 'wild type',-3.5,0.0469436302635046,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',3.4,4.4103816262843e-9,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'PI4KB homozygous knockout' vs 'wild type',-3.4,0.0293027981501549,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-56788,'POLR2D knock-down' vs 'mock',3.3,3.9237184239535e-20,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'EIF2AK3 homozygous knockout' vs 'wild type',-3.3,0.0403806219636069,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7061,'BRD2 homozygous knockout' vs 'wild type',-3.3,0.041086104839827,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',3.2,5.44575170773656e-112,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day',-3.1,6.32436541868249e-26,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7025,'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none',3.1,2.63861894357613e-8,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',2.9,1.55534848815256e-8,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',2.8,6.87666678179337e-15,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '54 hour',2.8,0.00000756346093010104,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-2.7,0,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-MB-231',-2.7,0,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7847,'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7',-2.7,4.12425756514345e-46,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',2.7,6.84154594058799e-12,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33294,'liver tumor' vs 'adjacent non-tumor tissue',2.7,0.000069000399492403,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',2.6,9.88837198307917e-15,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '60 hour',2.6,7.26849409160603e-7,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '48 hour',2.6,0.00000246545735424696,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',2.6,0.0000265951651645932,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-2.5,0.00000595056678459299,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '72 hour',2.5,0.00000981083488373075,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-63452,'6 hour' vs '0 hour' in 'MCF-10A',-2.4,1.17698028383011e-8,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-9767,"after autologous stem cell transplantation vs ""before autologous stem cell transplantation""",-2.3,0.0000506162188253585,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A',2.2,7.01541376226596e-41,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7033,'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3',2.2,1.99608174317822e-15,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',2.2,4.0292221667493e-9,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',2.2,0.000217508317358249,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-5982,'Digoxin; 400 nanomolar' vs 'DMSO',2.2,0.00211316635219524,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',2.2,0.00740723159277373,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-48403,'after androgen ablation therapy' vs 'before androgen ablation therapy',-2.1,7.89347160015897e-10,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-8887,"'neoplasm; grade 2, focal grade 3' vs 'normal tissue adjacent to neoplasm' in 'hepatocellular carcinoma'",2.1,0.00185961979878909,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7808,'doxycycline' vs 'none' in 'Caki1',-2,1.17715808721541e-60,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-58365,'BCL6 RD2 mutant' vs 'wild type',2,6.2405885485223e-45,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-2,4.71627058308862e-15,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-9206,'ELP3 shRNA' vs 'scrambled shRNA',2,3.68234392575473e-13,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-9209,'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none',2,6.13759825973213e-9,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7025,'JQ1 (1 micromolar)' vs 'none',2,0.0000218779421710593,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-5762,'uterine leiomyosarcoma' vs 'normal',2,0.0371143389649224,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-339,'p-fluorosuberoylanilide hydroxamic acid (FSAHA); 10 micromolar' vs 'none; 0 micromolar',-1.9,5.83476963744879e-7,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani' vs 'mock' at '48 hour',1.9,0.00000904383049454672,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-57116,'3 h DRB 0 min 4sU' vs 'untreated',-1.9,0.0429026678233715,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-38959,'breast cancer; breast' vs 'normal; breast',1.8,2.28458418439688e-11,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '36 hour',1.8,0.00000179793064511232,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani' vs 'mock' at '36 hour',1.8,0.00000835321337968145,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-64912,'papillary thyroid carcinoma' vs 'normal',1.8,0.00177128068835819,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 1' vs 'none' in 'B42 subclone 11',-1.8,0.0256739756845646,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani' vs 'mock' at '54 hour',1.7,0.00047262155466307,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-1776,'EGR2-E356K' vs 'wild type genotype',1.7,0.000796386175468141,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-8887,'neoplasm; grade 2 and grade 3' vs 'normal tissue adjacent to neoplasm' in 'hepatocellular carcinoma',1.7,0.00716791804617019,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-3649,'Listeria monocytogenes EGD-e' vs 'none',-1.6,1.44652244093115e-22,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)',-1.6,0.00000468086423384196,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-37827,'SARS coronavirus Urbani' vs 'none' at '48 hour',1.6,0.00000497739307748222,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6235,'DDX54 siRNA 9' vs 'scrambled siRNA',-1.6,0.000276395094485141,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6087,'hypoxia' vs 'normoxia' in 'SW982',1.6,0.00641150636910106,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-49608,'4 hour' vs '0 hour' in 'MDA-MB-231',-1.5,0,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 1 day' vs 'dimethyl sulfoxide; 1 day',-1.5,2.28319786523941e-8,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7033,'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl',1.5,4.24003287964561e-8,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',1.5,0.00000262821482106551,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-58966,'shGATA' vs 'control' in 'ARCaPM-DR',1.5,0.00000270592039322768,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-48850,'papillary thyroid carcinoma' vs 'normal',1.5,0.000677332668264897,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-49608,'4 hour' vs '0 hour' in 'MDA-LM2',-1.4,0,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-49608,'2 hour' vs '0 hour' in 'MDA-MB-231',-1.4,3.45562195981293e-102,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6564,'RNPS1 knockdown and rescue with RNPS1 loss of function mutant' vs 'wild type phenotype',-1.4,1.54264871290291e-10,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; Cisplatin',-1.4,0.00000305148994092939,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-37827,'SARS coronavirus Urbani' vs 'none' at '54 hour',1.4,0.00000768215943971488,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani' vs 'mock' at '60 hour',1.4,0.0000618037546749418,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7433,'KDM5-inh1' vs 'dimethyl sulfoxide' in '1 micromolar',-1.3,3.20607849720804e-24,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-43767,'lung adenocarcinoma' vs 'normal' in 'adult',1.3,2.20083323997983e-8,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-28542,'7.5 micromolar CG-1521' vs 'vehicle' in 'SUM149PT',-1.3,0.000001715287195362,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-45581,'inflammatory breast cancer' vs 'normal',1.3,0.00000347480785365366,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-28542,'10 nanomolar 17beta-estradiol and 7.5 micromolar CG-1521' vs 'vehicle' in 'SUM149PT',-1.3,0.00000460170329646437,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-3645,'Hypoxia' vs 'Normoxia' in 'A2780; None',1.3,0.00000678086683883823,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-37827,'SARS coronavirus Urbani' vs 'none' at '60 hour',1.3,0.000323033742711354,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-11476,'iROBO3 knockdown by siRNA' vs 'scrambled siRNA',1.3,0.00147295835774252,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-10817,'SIN1; 50 micromolar' vs 'none',1.3,0.0177680121135356,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7808,'doxycycline' vs 'none' in '786-0',-1.2,1.73582579378088e-60,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',1.2,1.40707334771257e-7,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-5102,'154; 1 micromolar' vs 'DMSO',1.2,2.81984416183623e-7,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-10317,'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA',-1.2,0.0000232308740782465,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; None',-1.2,0.0000331919633439725,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-52567,'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none',1.2,0.00023225002696779,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-56788,'TGM5 knock-down' vs 'mock',1.2,0.000645170130627187,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 2' vs 'none' in 'B42 subclone 16',-1.2,0.0019053892969903,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-56788,'CCNK knock-down' vs 'mock',1.2,0.00231368180196938,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-8677,'SPI1 -/-' vs 'SPI1 +/+',-1.2,0.00478891897165557,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6235,'DDX3 siRNA 6' vs 'scrambled siRNA',-1.2,0.0109815167141356,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 1' vs 'scrambled control siRNA' in 'B42 subclone 11',-1.2,0.0185852773076163,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',1.2,0.0239247498280442,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-10817,'ladostigil; 5.4 micromolar and SIN1; 50 micromolar' vs 'none',1.2,0.0350959180084902,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-49608,'2 hour' vs '0 hour' in 'MDA-LM2',-1.1,8.47590906752228e-192,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7808,'doxycycline' vs 'none' in '769P',-1.1,2.64184247547006e-62,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',1.1,4.24132216244977e-14,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',-1.1,2.51240186821065e-12,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6564,'RNPS1 knockdown' vs 'wild type phenotype',-1.1,0.00000215884347198889,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '30 hour',1.1,0.0000146649700329679,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani' vs 'mock' at '30 hour',1.1,0.0000470780375857314,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-58379,'expression of wild type RBM47' vs 'empty vector',-1.1,0.0000546893384345623,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-3645,'Hypoxia' vs 'Normoxia' in 'A2780cis; Cisplatin',1.1,0.000196966308177577,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; Cisplatin',-1.1,0.000461394485213864,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-36509,'LBH589 (panobinostat)' vs 'DMSO' in 'H295R',-1.1,0.000519776146124763,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-45042,'Human betacoronavirus 2c EMC/2012; 18 hour' vs 'mock; 24 hour',1.1,0.00137603494524928,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-8444,'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'HIV-1' at '30 hour',1.1,0.00569828114056402,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6235,'DDX54 siRNA 12' vs 'scrambled siRNA',-1.1,0.00625668055786347,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-3021,'PRPF8' vs 'control',1.1,0.0124126688052157,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7039,'neoplasm' vs 'normal tissue adjacent to tumour',1.1,0.0171645991622326,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',1,1.44022722724641e-13,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-41678,'MDAMB231; cocultured with fibroblast CCD1112Sk' vs 'MDAMB231; normal',1,0.00000918406172238523,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-41678,'Cal51; cocultured with fibroblast HFF1' vs 'Cal51; normal',-1,0.0000766816624550216,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-59251,'ZNA; 30 micromolar' vs 'DMSO' at '12 hour',-1,0.000520823155205068,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',1,0.000546964249473899,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani' vs 'mock' at '72 hour',1,0.000698061474673436,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-25412,'resveratrol; 150 millimolar' vs 'vehicle; ',-1,0.00244683745456215,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-GEOD-45581,'non-inflammatory breast cancer' vs 'normal',1,0.0024612375215952,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7474,'soluble LRIG1 expression' vs 'control',-1,0.00426898911896699,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-7472,'melanoma conditioned medium' vs 'control medium' in 'EBV-transformed B-cell; neoplasm',-1,0.00461891488681981,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6204,'PTBP1/2 knock down by siRNA' vs 'scrambled siRNA' in 'cytoplasmic RNA',1,0.0142963703715937,
ENSG00000124635,H2BC11,H2BC11,homo sapiens,E-MTAB-6235,'DDX3 siRNA 8' vs 'scrambled siRNA',-1,0.0271704428816132,
