Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000180596	homo sapiens	E-MTAB-5175	'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type'	4.8	5.07316590387551e-182	
ENSG00000180596	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	4.6	1.62816378125619e-21	
ENSG00000180596	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	-4.3	8.88277533220337e-51	
ENSG00000180596	homo sapiens	E-MTAB-3672	'JQ1; 500 nanomolar' vs 'dimethyl sulfoxide'	4.3	6.29982879779002e-7	
ENSG00000180596	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	4	1.26595177285668e-42	
ENSG00000180596	homo sapiens	E-GEOD-10879	'MCF-7 clone 5C' vs 'MCF-7'	3.8	1.19653332525755e-9	
ENSG00000180596	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	3.5	6.37326053167752e-11	
ENSG00000180596	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day'	3.4	2.12283309857231e-7	
ENSG00000180596	homo sapiens	E-GEOD-21293	'invasive' vs 'non-invasive'	-3.3	1.69643613916465e-17	
ENSG00000180596	homo sapiens	E-GEOD-8597	'cycloheximide; 17beta-estradiol' vs 'DMSO control; 17beta-estradiol'	3.3	6.17303877389175e-12	
ENSG00000180596	homo sapiens	E-GEOD-63452	'6 hour' vs '0 hour' in 'MCF-10A'	-3.2	7.69951171096575e-28	
ENSG00000180596	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	3.2	1.12097360572379e-11	
ENSG00000180596	homo sapiens	E-GEOD-28049	'shco4 shRNA targeting Coco' vs 'control'	3.2	0.00000478495737081548	
ENSG00000180596	homo sapiens	E-GEOD-37136	'transduced with HOXA1' vs 'control'	3.1	2.83083056208577e-7	
ENSG00000180596	homo sapiens	E-GEOD-25412	'resveratrol; 150 millimolar' vs 'vehicle; '	-3.1	0.000029137845094463	
ENSG00000180596	homo sapiens	E-MTAB-7061	'MTF2 homozygous knockout' vs 'wild type'	-3.1	0.00180657692080162	
ENSG00000180596	homo sapiens	E-GEOD-55541	'CA-PDGFRA + sh-p53 + H3.3-K27M' vs 'mock'	3.1	0.00840741162780299	
ENSG00000180596	homo sapiens	E-MTAB-7061	'KDM1A homozygous knockout' vs 'wild type'	-3.1	0.0483163187858192	
