Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',5.9,0.00000429493992465296,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-6738,'dexamethasone; 1 micromolar' vs 'ethanol',4.2,3.63252031273144e-177,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-4.1,2.42271951217294e-20,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.8,1.38798470612962e-13,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-3.7,1.20614760932134e-12,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-5762,'uterine leiomyosarcoma' vs 'normal',3.5,0.0153588001458097,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.4,2.83822258474994e-11,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-3.2,1.34321026431805e-36,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-8677,'SPI1 +/-' vs 'SPI1 +/+',-3.1,4.19985276057689e-13,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-1776,'EGR2-E356K' vs 'wild type genotype',-3.1,0.0182494759667703,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',2.9,6.99992775934514e-14,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',2.9,0.000363437939103527,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',2.8,3.70509177927011e-61,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',2.5,9.16928046404912e-17,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-8677,'SPI1 -/-' vs 'SPI1 +/+',-2.5,2.01463309566381e-9,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',2.5,0.0000138242292469413,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.5,0.0000349692006297558,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',2.5,0.000258661422961688,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.4,1.35233564955528e-7,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',2.3,0.000279763495598583,
ENSG00000002746,HECW1,HECW1,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',2.3,0.0303811192905602,
