Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000172977	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	-2.5	8.47266332574696e-11	
ENSG00000172977	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	2.4	0.00328868199359132	
ENSG00000172977	homo sapiens	E-GEOD-56788	'POLR2D knock-down' vs 'mock'	-1.6	3.05665464902147e-15	
ENSG00000172977	homo sapiens	E-GEOD-35008	'acute myeloid leukemia' vs 'normal' in 'long-term hematopoietic stem cell'	1.6	0.0173084943833843	
ENSG00000172977	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	-1.5	0.0000322872040711944	
ENSG00000172977	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-LM2'	-1.4	4.91594675189143e-8	
ENSG00000172977	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P04' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	-1.4	8.80507617940547e-7	
ENSG00000172977	homo sapiens	E-GEOD-48433	'HT-29; adenocarcinoma of colon; P10' vs 'HT-29; adenocarcinoma of colon; P0'	-1.4	0.00000169166636054465	
ENSG00000172977	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	-1.3	0.0000163506719826643	
ENSG00000172977	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	-1.3	0.0172315681000819	
ENSG00000172977	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P01' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	-1.2	0.00000127130841084174	
ENSG00000172977	homo sapiens	E-GEOD-56677	'Human betacoronavirus 2c England-Qatar/2012; 24 hour' vs 'mock; 18 hour'	1.2	0.00000191573144504308	
ENSG00000172977	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A'	1.2	0.0000545611927745259	
ENSG00000172977	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-1.2	0.00178800948683585	
ENSG00000172977	homo sapiens	E-GEOD-63252	'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control'	-1.2	0.00295623932057709	
ENSG00000172977	homo sapiens	E-GEOD-14973	'valproic acid; 1 millimolar' vs 'none; '	-1.1	5.68779810733527e-13	
ENSG00000172977	homo sapiens	E-GEOD-32526	'S2N; tumorigenic; monolayer' vs 'S2; non-tumorigenic; monolayer'	-1.1	0.0000134363408595015	
ENSG00000172977	homo sapiens	E-GEOD-46493	'doxorubicin; 0.6 microgram per milliliter' vs 'none'	-1	0.00000352653605050377	
ENSG00000172977	homo sapiens	E-GEOD-62673	'deprived of Lysine' vs 'control media' in 'MCF7' at '24 hour'	-1	0.0000130419486254602	
ENSG00000172977	homo sapiens	E-GEOD-26790	'panobinostat' vs 'none' in 'MOLT-4'	-1	0.000118527254264431	
ENSG00000172977	homo sapiens	E-GEOD-36509	'LBH589 (panobinostat)' vs 'DMSO' in 'H295R'	-1	0.000629651766462463	
ENSG00000172977	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	-1	0.00344175608889998	
ENSG00000172977	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1	0.00410901618609455	
ENSG00000172977	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-1	0.00796884214783473	
ENSG00000172977	homo sapiens	E-GEOD-39091	'Daunorubicin; 100 nanomolar' vs 'DMSO; 0.065 percent' in 'p53'	-1	0.0308518771710657	
