Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000183762	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	4.5	3.26526075665894e-11	
ENSG00000183762	homo sapiens	E-GEOD-45417	'PMA' vs 'vehicle' in 'ZXDC1 knockdown'	3	1.96517561086994e-7	
ENSG00000183762	homo sapiens	E-GEOD-58365	'BCL6 RD2 mutant' vs 'wild type'	2.9	4.37460325754862e-152	
ENSG00000183762	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	-2.9	0.000138578589468964	
ENSG00000183762	homo sapiens	E-MTAB-6738	'dexamethasone; 1 micromolar' vs 'ethanol'	2.8	9.5392591640129e-77	
ENSG00000183762	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	2.8	1.41441789108243e-15	
ENSG00000183762	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	-2.5	4.0722005113912e-34	
ENSG00000183762	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P10' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	-2.5	0.0000462038004913576	
ENSG00000183762	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	2.5	0.000122789043405548	
ENSG00000183762	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	-2.3	4.75639994583309e-46	
ENSG00000183762	homo sapiens	E-MTAB-1776	'EGR2-E356K' vs 'wild type genotype'	2.3	0.032559903616162	
ENSG00000183762	homo sapiens	E-MTAB-5917	'lipopolysaccharide and interferon gamma; 1 day' vs 'none; 3 day' in 'phorbol 13-acetate 12-myristate; 100 nanomolar'	2.2	0.0000145859232050714	
ENSG00000183762	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3'	-2.1	4.37273788364155e-58	
ENSG00000183762	homo sapiens	E-GEOD-63569	'myelodysplastic syndrome; SF3B1 mutated K700E' vs 'normal'	2.1	0.000974744084366221	
ENSG00000183762	homo sapiens	E-GEOD-16238	'anti-Evi1 siRNA knockdown' vs 'control' in 'SK-MES-1'	2	0.0000229708780091654	
ENSG00000183762	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day'	2	0.00040140828240944	
ENSG00000183762	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P10' vs 'HCC-2998; colon carcinoma; P0'	1.9	7.26477800826489e-7	
ENSG00000183762	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P04' vs 'HCC-2998; colon carcinoma; P0'	1.9	0.0000123209369973583	
ENSG00000183762	homo sapiens	E-GEOD-26790	'panobinostat' vs 'none' in 'MOLT-4'	1.9	0.0000138907227143099	
ENSG00000183762	homo sapiens	E-GEOD-52327	'aldehyde dehydrogenase positive' vs 'aldehyde dehydrogenase negative'	1.9	0.0341264958035377	
ENSG00000183762	homo sapiens	E-MTAB-6991	'shRNA knockdown of PROX1' vs 'wild type phenotype' in 'U-343_MGa'	-1.8	1.90712691679587e-67	
ENSG00000183762	homo sapiens	E-GEOD-41586	'5-aza-deoxy-cytidine; 5 micromolar' vs 'none'	1.8	7.74849636674715e-29	
ENSG00000183762	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P01' vs 'HCC-2998; colon carcinoma; P0'	1.8	3.56705472131662e-7	
ENSG00000183762	homo sapiens	E-GEOD-58252	'Snail overexpression' vs 'control'	1.8	0.00000334335854698402	
ENSG00000183762	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	-1.8	0.00000362223000516252	
ENSG00000183762	homo sapiens	E-MTAB-7884	'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)'	1.8	0.0000241672503630498	
ENSG00000183762	homo sapiens	E-GEOD-34015	'MALT lymphoma' vs 'normal'	1.8	0.0103498243467474	
ENSG00000183762	homo sapiens	E-GEOD-56788	'TGM5 knock-down' vs 'mock'	-1.7	3.20095888788888e-30	
ENSG00000183762	homo sapiens	E-MTAB-5162	'RNH1 knockout' vs 'wild type genotype'	-1.7	1.13785275685898e-9	
ENSG00000183762	homo sapiens	E-GEOD-10696	'gefitinib resistant' vs 'gefitinib sensitive'	-1.7	1.98863608248335e-7	
ENSG00000183762	homo sapiens	E-GEOD-41364	'5 micromolar; 5-Aza' vs 'vehicle'	1.7	0.00000274862289715129	
ENSG00000183762	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	1.7	0.0000102156968835182	
ENSG00000183762	homo sapiens	E-MTAB-5917	'interferon gamma; 1 day' vs 'none; 3 day' in 'phorbol 13-acetate 12-myristate; 100 nanomolar'	1.7	0.00010863282429493	
ENSG00000183762	homo sapiens	E-GEOD-26790	'panobinostat' vs 'none' in 'TOM-1'	1.7	0.000643297465473865	
ENSG00000183762	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide; 1 day' vs 'none; none; 0 day'	1.7	0.00152958273129853	
ENSG00000183762	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	-1.7	0.00212926188774813	
ENSG00000183762	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-1.7	0.00299907382984994	
ENSG00000183762	homo sapiens	E-GEOD-40776	'expressing O6-methylguanine methyltransferase' vs 'control'	-1.7	0.00845827853720908	
ENSG00000183762	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	1.6	2.40839914423578e-211	
ENSG00000183762	homo sapiens	E-GEOD-61966	'501Mel; shBRG1 knockdown' vs '501Mel; control'	-1.6	9.20255476764221e-105	
ENSG00000183762	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar)' vs 'none'	-1.6	2.11835031207277e-47	
ENSG00000183762	homo sapiens	E-MTAB-7745	'dexamethasone; 1 micromolar' vs 'vehicle'	1.6	8.48398188785365e-25	
ENSG00000183762	homo sapiens	E-GEOD-48433	'HL-60(TB); promyelocytic leukemia; P04' vs 'HL-60(TB); promyelocytic leukemia; P0'	-1.6	0.00237328337516852	
