Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',6.7,4.295800732977e-9,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioma stem cell line',6.4,0.00000217385301041366,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',6,1.19388945930324e-21,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-9767,"after autologous stem cell transplantation vs ""before autologous stem cell transplantation""",-5.1,4.02626756466274e-11,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-19249,'lung cancer' vs 'normal' in 'lung; Formalin-fixed paraffin-embedded tissue',4.8,5.20977416041778e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-5162,'RNH1 knockout' vs 'wild type genotype',-4.7,3.98788605364093e-50,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-32526,'S2N; tumorigenic; spheres' vs 'S2; non-tumorigenic; spheres',4.7,1.00183426933877e-8,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-55048,'tumor' vs 'paratumoral tissue',4.6,3.62733390873892e-13,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-36035,'lymphangiogenic and very metastatic' vs 'parental pool',-4.6,0.00000219485448079443,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'HL-60(TB); promyelocytic leukemia; P10' vs 'HL-60(TB); promyelocytic leukemia; P0',4.6,0.0000028459930522968,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'HL-60(TB); promyelocytic leukemia; P04' vs 'HL-60(TB); promyelocytic leukemia; P0',4.3,2.33849124719078e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-4.2,1.69484598160828e-20,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-6691,'chronic lymphocytic leukemia' vs 'normal' in 'B lymphocytes',4,7.35014271059718e-12,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0',4,7.65027717711341e-10,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-19249,'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue',4,2.20218695594697e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-36035,'lymphangiogenic' vs 'parental pool',-4,0.00223977527553593,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',3.8,2.80253277960352e-8,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-59234,'SOX2 siRNA' vs 'negative control' in '2102Ep',3.7,7.40674128034506e-8,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'HOP-92; large cell undifferentiated lung; P10' vs 'HOP-92; large cell undifferentiated lung; P0',3.6,1.4036651570543e-9,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-56517,'shHOXA9; GBML18; ' vs 'control; GBML18; ',3.6,0.0000278804605222865,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-19249,'colon cancer' vs 'normal' in 'colon; Fresh-frozen tissue',3.5,0.0000123439740246459,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-37136,'transduced with HOXA1' vs 'control',-3.4,1.88529865329172e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-58252,'Snail overexpression' vs 'control',3.4,4.0762778474918e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-12854,'PKA RI-alpha over expression' vs 'wild type',3.4,0.0000439886394885982,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-55541,'H3.3 K27M' vs 'mock',3.4,0.0161131799685525,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-6756,'siRNA double knockdown of HNF4A and GATA6' vs 'scrambled siRNA',3.3,3.41315955513053e-75,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-3.3,5.64400031078795e-10,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P10' vs 'AsPC-1; pancreatic adenocarcinoma; P0',3.3,3.59924186250387e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.2,3.63205338549246e-18,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'HOP-92; large cell undifferentiated lung; P04' vs 'HOP-92; large cell undifferentiated lung; P0',3.2,5.84890091706399e-9,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.1,2.43356065705336e-13,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-55092,'neoplasm; malignant' vs 'normal tissue adjacent to neoplasm; non-malignant' in 'hepatocyte',3.1,0.00111270278903381,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day',-3,1.93434768323475e-22,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',3,1.50180307122309e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-22529,'chronic lymphosyte leukemia' vs 'normal' on 'Affymetrix HG-U133A array',2.9,2.6531599230094e-11,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0',2.9,2.46065413160959e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P01' vs '786-0; renal adenocarcinoma; P0',2.8,0.00000176809704697233,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-3325,'metastatic prostate cancer' vs 'benign prostate tumor',2.8,0.00037387115585454,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-7307,'melanoma' vs 'normal' in 'skin',2.8,0.0167218462991196,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day',-2.7,4.638320896014e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',-2.5,7.03884235010788e-17,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.5,1.57153063352401e-10,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'SW-620; adenocarcinoma of colon; P10' vs 'SW-620; adenocarcinoma of colon; P0',2.5,0.00194051870225881,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-55092,'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'liver',2.4,1.57519735939407e-17,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P04' vs 'AsPC-1; pancreatic adenocarcinoma; P0',2.4,0.0000524703005743595,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line',2.4,0.000144854339703827,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7061,'KDM1A homozygous knockout' vs 'wild type',-2.4,0.00890187835064948,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-19826,'gastric carcinoma; tumor' vs 'normal; normal',2.4,0.0133443299494482,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-18105,'metastasis; tumor' vs 'metastasis; normal adjacent tissue',2.4,0.0149734518992912,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-30296,'stable expression of BRCA1' vs 'empty vector',2.3,3.54449808593535e-9,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-32526,'S2N; tumorigenic; monolayer' vs 'S2; non-tumorigenic; monolayer',2.3,0.00000458060646790473,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-18105,'non metastasis; tumor' vs 'non metastasis; normal adjacent tissue',2.3,0.00000596039166353074,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-66354,'supratentorial ependymoma' vs 'normal',2.3,0.0000138306131440855,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day',-2.3,0.0000157478599713444,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',-2.2,3.48620803942738e-45,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'HOP-92; large cell undifferentiated lung; P01' vs 'HOP-92; large cell undifferentiated lung; P0',2.2,3.68367535243691e-8,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-16515,'pancreatic cancer' vs 'normal',2.2,0.0000901450860269092,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-22334,'cells p16-transfected' vs 'control',2.2,0.000280569710384451,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-21422,'ductal carcinoma in situ' vs 'normal',2.2,0.000341592204127592,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7061,'HDAC1 homozygous knockout' vs 'wild type',-2.2,0.00591929300425065,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7061,'ATAD2 homozygous knockout' vs 'wild type',-2.2,0.023064581701642,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-2.1,6.03178400609574e-26,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'NCI-H226; squamous cell lung carcinoma; P10' vs 'NCI-H226; squamous cell lung carcinoma; P0',2.1,0.00129744060797871,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P10' vs 'HOP-62; adenocarcinoma of lung; P0',2,2.09310466104395e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'K-562; chronic myelogenous (blast crisis) leukemia; P10' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0',2,0.00000340872744812119,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-18105,'metastatic recurrence; tumor' vs 'metastatic recurrence; normal adjacent tissue',2,0.0270849090001317,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day',-1.9,2.47863212581978e-13,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48433,'COLO 205; adenocarcinoma of colon; P10' vs 'COLO 205; adenocarcinoma of colon; P0',-1.9,1.19434984139079e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',-1.9,0.00000282050071037221,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-65485,'neoplasm' vs 'normal tissue adjacent to neoplasm',1.9,0.0324309677504626,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',-1.8,3.89078145914223e-43,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-7033,'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3',-1.8,7.06899634678896e-10,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-26656,'M24met; Wnt-1 overexpressing; ' vs 'M24met; wild type; ',1.8,6.95399896447888e-8,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-10289,'SDHB siRNA' vs 'control',-1.8,0.00000217179231691169,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-3619,'UV' vs 'none' in 'brct expression',-1.8,0.0000154574174363049,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'stromal cell',1.8,0.000582196856053224,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-21422,'invasive ductal carcinoma' vs 'normal',1.8,0.00156100171094592,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'epithelial cell',-1.8,0.00443294635271628,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-44408,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',1.8,0.0255160565401642,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-9209,'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none',1.7,1.13640166946147e-10,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-35525,'siRNA-HMGA1' vs 'control',-1.7,3.30731686325909e-8,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-7835,'deferoxamine; 1 micromolar polyamide 1' vs 'deferoxamine; none',-1.7,1.03591389225334e-7,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-779,'breast carcinoma' vs 'normal',1.7,0.0000947981483982447,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-23930,'lethal factor (anthrax toxin)' vs 'lacZ',-1.7,0.000769052046607246,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-3330,'doxycycline-mediated repression of CTNNB1' vs 'wild type',-1.7,0.00246578729070609,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',-1.7,0.0024915294984361,
ENSG00000138795,LEF1,LEF1,homo sapiens,E-MTAB-1940,'urothelial carcinoma' vs 'normal',1.7,0.00775081484279483,
