Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000133067	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-5.9	4.35659547621824e-9	
ENSG00000133067	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	4.9	2.27395510213576e-240	
ENSG00000133067	homo sapiens	E-MTAB-10819	'circDOCK1 overexpression' vs 'empty vector' in 'MDAMB231; not applicable'	-4.8	4.03110360854768e-19	
ENSG00000133067	homo sapiens	E-MTAB-108	'transfection with GFP-FOXP3 cDNA' vs 'transfection with GFP cDNA'	4.2	9.72794873195439e-11	
ENSG00000133067	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day'	-4	8.37740253816534e-8	
ENSG00000133067	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-3.7	2.21756644831513e-15	
ENSG00000133067	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-3.6	3.18020445349325e-17	
ENSG00000133067	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.6	9.23513792204221e-14	
ENSG00000133067	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-3.3	1.63624737964931e-13	
ENSG00000133067	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-3.3	0.00000623517430077972	
ENSG00000133067	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0'	3	2.37492752185892e-8	
ENSG00000133067	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	2.8	0	
ENSG00000133067	homo sapiens	E-MTAB-7284	'TIGAR knockdown' vs 'wild type'	2.6	2.04731833010112e-9	
ENSG00000133067	homo sapiens	E-MTAB-6756	'siRNA double knockdown of HNF4A and GATA6' vs 'scrambled siRNA'	2.5	7.17644083260302e-24	
