Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',5.6,0,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-50803,'ALK inhibitor CEP-14083' vs 'control',-5.5,0.00000481132723520626,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioma stem cell line',-5.1,0.00000132896218754287,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-6400,'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol',-4.8,3.25863467269825e-8,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",4.8,0.0000130586490485453,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5690,'DMSO-mediated cell differentiation during experiment' vs 'not cultured with DMSO' in 'interferon gamma',-4.2,4.67344641180716e-7,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5690,'DMSO-mediated cell differentiation during experiment' vs 'not cultured with DMSO' in 'none',-4.2,0.00000107894005509869,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioma stem cell line',-4.1,0.00000129443482346512,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-3.9,1.83238021030684e-12,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-3.8,5.86469313935946e-10,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5690,'DMSO-mediated cell differentiation prior to experiment' vs 'not cultured with DMSO' in 'none',-3.8,1.02236012685101e-8,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (200 micromolar) and fructose (5.5 millimolar)',-3.7,0.000124794632396196,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-76987,'colon adenocarcinoma' vs 'normal',3.6,2.2831100606512e-47,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-41827,'casiopeina II-gly' vs 'control',-3.6,6.22899597049676e-7,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-9767,"after autologous stem cell transplantation vs ""before autologous stem cell transplantation""",-3.5,7.29208007460926e-13,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day',-3.5,0.00000184099522177256,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',-3.3,0,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-66270,'tumour staging pT1; disease staging 2; neoplasm' vs 'normal tissue adjacent to neoplasm',3.3,1.0753573592961e-11,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-66270,'tumour staging pT3; disease staging 2; neoplasm' vs 'normal tissue adjacent to neoplasm',3.3,2.20019308490779e-7,
ENSG00000136997,MYC,MYC,homo sapiens,E-MEXP-149,'retinoic acid; acute promyelocytic leukemia; PML/RAR' vs 'untreated; acute promyelocytic leukemia; PML/RAR' on 'Affymetrix HG-U133A array',-3.3,0.0000176545408107168,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.2,1.70826522899854e-15,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-7835,'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none',-3.2,2.15276957273316e-8,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5102,'154; 1 micromolar' vs 'DMSO',-3.2,2.42947560350659e-8,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-11791,'zinc; 75 millimolar; p-delta-MT-Myc' vs 'zinc; 75 millimolar; empty vector',3.2,0.000198072545647885,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-MB-231',-3.1,1.58253556445329e-95,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5690,'DMSO-mediated cell differentiation prior to experiment' vs 'not cultured with DMSO' in 'interferon gamma',-3.1,3.97657779745011e-7,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-18105,'metastatic recurrence; tumor' vs 'metastatic recurrence; normal adjacent tissue',3.1,0.0000100480969074268,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',-3,1.46196898035474e-13,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',3,4.07886737798274e-9,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-18105,'metastasis; tumor' vs 'metastasis; normal adjacent tissue',3,0.00000355238006375464,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-69540,'neuregulin' vs 'none' at '24 hour',-3,0.00342626346562582,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-6738,'dexamethasone; 1 micromolar' vs 'ethanol',-2.9,9.79821741945735e-79,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',2.9,1.13303756551059e-21,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour',2.9,7.63126747679307e-7,
ENSG00000136997,MYC,MYC,homo sapiens,E-MEXP-567,'glioblastoma' vs 'normal',2.9,0.00354946615714323,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-7841,'Streptococcus pneumoniae strain TIGR4' vs 'none',2.8,4.11566461421511e-136,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-7841,'Streptococcus pneumoniae strain TIGR4; pneumococcal infection' vs 'none',2.8,1.69106921028133e-102,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-18105,'non metastasis; tumor' vs 'non metastasis; normal adjacent tissue',2.8,4.14709938574359e-15,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.8,5.12495818796703e-12,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-56026,'control; interferon gamma; 250 micromolar' vs 'control; none; ',2.8,0.00000346171330852654,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-11620,'poly I:C' vs 'mock' in 'ncgRNA',2.8,0.0000365371152159784,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-2.7,3.41792853481859e-154,
ENSG00000136997,MYC,MYC,homo sapiens,E-GEOD-39091,'MLN4924; 650 nanomolar' vs 'DMSO; 0.065 percent' in 'p53',2.7,1.40714145442072e-7,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar' at '3 day' vs 'none' at '0 day' in 'none',-2.6,2.50888686927474e-7,
ENSG00000136997,MYC,MYC,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day',-2.6,0.00000729081471443728,
