Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000087095,NLK,NLK,homo sapiens,E-MEXP-3628,'osteosarcoma' vs 'normal',-2.7,1.98308096892519e-8,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-2.6,0.00000126246543019768,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-35493,'atypical teratoid / rhabdoid tumor' vs 'normal',-2.4,6.97347761690984e-7,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-66354,'supratentorial ependymoma' vs 'normal',-2.3,0.00000847828502409767,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-63252,'wild type; BREFELDIN A' vs 'wild type; control',2.2,0.00157915783395383,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-21354,'astrocytic glioma' vs 'normal',-2,0.0030100995365354,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-1.9,9.19330355236468e-41,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-66354,'atypical teratoid/rhabdoid tumor' vs 'normal',-1.9,0.00000439844131849495,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-63252,'wild type; tunicamycin' vs 'wild type; control',1.9,0.00907106713680701,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',-1.9,0.0323967319094287,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0',1.8,0.0000106963086818276,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-19249,'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue',1.8,0.00011824489263063,
ENSG00000087095,NLK,NLK,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',-1.7,1.78259427110247e-29,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',1.7,1.82741286244481e-9,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-66354,'pilocytic astrocytoma' vs 'normal',-1.7,0.00000635403617091005,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-50161,"'Astrocytoma, Pilocytic' vs 'normal'",-1.7,0.00000798049669988814,
ENSG00000087095,NLK,NLK,homo sapiens,E-MEXP-1482,'miR15a/miR16-1' vs 'empty vector',-1.7,0.0000093857944401517,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-60888,'H1975; lung; PAEP siRNA' vs 'H1975; lung; control',-1.7,0.000196877216346915,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-7835,'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none',-1.6,0.00000201353204608423,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'stromal cell',1.6,0.000149241828261988,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-29598,'infected with adenovirus expressing GFP; ; messageAmp Premier methodology' vs 'infected with adenovirus expressing GFP; ; normal',1.5,4.20552238290058e-9,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P01' vs '786-0; renal adenocarcinoma; P0',1.5,0.000013158044565442,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-50161,'glioblastoma' vs 'normal',-1.5,0.0000223471949702842,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-6400,'2.25 micromolar dose of sapphyrin PCI-2050' vs '5 percent dose of mannitol',-1.5,0.000326244726786843,
ENSG00000087095,NLK,NLK,homo sapiens,E-GEOD-63252,'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control',1.5,0.00691023871185406,
