Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',3.3,8.24049241353544e-14,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',2.8,4.62720582819813e-11,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (200 micromolar)',-2.7,0.00392197387050722,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',2.6,1.3131054006847e-7,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',2.5,3.76963150392028e-9,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',2.2,5.88466998621729e-8,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',2.2,9.60993303781981e-7,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-51415,'tongue squamous cell carcinoma' vs 'normal' in 'vehicle',2.1,8.55476689251996e-9,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-56517,'shHOXA9; GBML18; ' vs 'control; GBML18; ',-2.1,0.000241581491453147,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',2.1,0.00160815131282679,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (200 micromolar) and fructose (5.5 millimolar)',-2.1,0.0462020070834406,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-7025,'THZ1 (35 nanomolar)' vs 'none',-2,5.09197821296024e-11,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-1.8,1.78934067567139e-23,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-7025,'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none',-1.8,1.36623180844253e-8,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-1.7,0.0000077885603966305,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)',-1.6,0.00120535266687715,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-22866,'glioblastoma' vs 'control',-1.5,2.21377836836665e-8,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',1.5,0.000178615361422761,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-8444,'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'HIV-1' at '30 hour',1.5,0.00045941596127073,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-3021,'PRPF8' vs 'control',1.4,0.00144026082851004,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-1.3,2.30859670243427e-16,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-50161,"'Astrocytoma, Pilocytic' vs 'normal'",-1.3,2.26582587853315e-7,
ENSG00000102981,PARD6A,PARD6A,homo sapiens,E-GEOD-66354,'pilocytic astrocytoma' vs 'normal',-1.3,3.71986849614679e-7,
