Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000185527	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	-3.6	0.000756302254311623	
ENSG00000185527	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	3	0.0452293231236234	
ENSG00000185527	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	2.3	0.0306012998819274	
ENSG00000185527	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	2.1	1.29277963578241e-9	
ENSG00000185527	homo sapiens	E-GEOD-64912	'papillary thyroid carcinoma' vs 'normal'	2.1	0.0262396764760137	
ENSG00000185527	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	2	0.0133477103157219	
ENSG00000185527	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	-1.8	0.0000011312873661316	
ENSG00000185527	homo sapiens	E-CURD-45	'neoplasm' vs 'normal tissue adjacent to neoplasm'	-1.7	3.12284454501126e-7	
ENSG00000185527	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	1.7	0.020496268418457	
ENSG00000185527	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.6	0.0000248460402453768	
ENSG00000185527	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	1.6	0.0343247754574469	
ENSG00000185527	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	1.6	0.0371866050298547	
ENSG00000185527	homo sapiens	E-GEOD-80832	'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '30 hour'	1.5	0.000473737170389713	
ENSG00000185527	homo sapiens	E-GEOD-80832	'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '18 hour'	1.5	0.00093913767813853	
ENSG00000185527	homo sapiens	E-MTAB-10308	'ETV6-RUNX1 shRNA 2' vs 'control shRNA' at '168 hour'	-1.4	1.04175057515493e-11	
ENSG00000185527	homo sapiens	E-GEOD-23031	'ribavirin 100 microgram per milliliter' vs 'phosphate buffered saline'	1.4	0.0000385484165199324	
ENSG00000185527	homo sapiens	E-MTAB-7808	'doxycycline' vs 'none' in 'Caki1'	1.4	0.00146108828089515	
ENSG00000185527	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	1.3	2.3565004514061e-58	
ENSG00000185527	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-1.3	0.0113250922288336	
ENSG00000185527	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	1.3	0.0268552863708527	
ENSG00000185527	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	1.2	3.73983719577307e-23	
ENSG00000185527	homo sapiens	E-MTAB-5102	'154; 1 micromolar' vs 'DMSO'	1.2	2.11202627212136e-7	
ENSG00000185527	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-1.2	0.000492663414813768	
ENSG00000185527	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-1.2	0.000747098376776942	
ENSG00000185527	homo sapiens	E-GEOD-59612	'non-enhancing margin; glioma' vs 'normal'	1.2	0.00166737389718871	
ENSG00000185527	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-1.2	0.00178788543956658	
ENSG00000185527	homo sapiens	E-MTAB-9207	'CFIm25 siRNA' vs 'scrambled siRNA' in 'KRAS-G13D expression'	1.2	0.00402263245989739	
ENSG00000185527	homo sapiens	E-MTAB-8677	'SPI1 +/-' vs 'SPI1 +/+'	1	1.19017718780279e-38	
ENSG00000185527	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	-1	0.00140477745311689	
ENSG00000185527	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	-1	0.00780288651245003	
ENSG00000185527	homo sapiens	E-GEOD-35008	'acute myeloid leukemia' vs 'normal' in 'granulocytic monocytic progenitor'	1	0.0122865064015667	
