Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',6.9,1.11204483768523e-88,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',6.8,2.23152294326744e-136,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-6.2,3.0220849469235e-7,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P04' vs 'AsPC-1; pancreatic adenocarcinoma; P0',-6,1.96532772898498e-8,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P10' vs 'AsPC-1; pancreatic adenocarcinoma; P0',-6,2.29861177340087e-8,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'KDM1A homozygous knockout' vs 'wild type',-5.2,0.00015152687253103,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-35493,'medulloblastoma' vs 'normal',-4.8,5.70147952566915e-9,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",-4.8,5.38848733661849e-8,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'ATAD2 homozygous knockout' vs 'wild type',-4.8,0.000690171702314266,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-52707,'SKR6LR cells resistant to lapanitib' vs 'SKR6 cells with elevated HER2 expression',4.5,1.52330216450634e-8,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'RIPK1 homozygous knockout' vs 'wild type',-4.4,0.0014855013628416,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'BRD2 homozygous knockout' vs 'wild type',-4.4,0.00182127224358722,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'EIF2AK3 homozygous knockout' vs 'wild type',-4.4,0.00187148869237264,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-50161,'medulloblastoma' vs 'normal',-4.1,6.40712363403934e-11,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'BLVRB homozygous knockout' vs 'wild type',-4.1,0.00256069341799013,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'BAZ2A homozygous knockout' vs 'wild type',-4.1,0.0059992559498546,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'BRD9 homozygous knockout' vs 'wild type',-3.9,0.00695195706112225,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'RIPK2 homozygous knockout' vs 'wild type',-3.9,0.0108999332500531,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-3.7,3.26405741526337e-9,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'ISRIB (trans-isomer); 2.5 milligram per kilogram',3.7,0.00562774990435887,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'PI4KB homozygous knockout' vs 'wild type',-3.6,0.0108324252994083,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7061,'EP300 homozygous knockout' vs 'wild type',-3.6,0.0242574090318733,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',3.5,3.89200984581199e-56,
ENSG00000107242,PIP5K1B,PIP5K1B,homo sapiens,E-GEOD-35493,'atypical teratoid / rhabdoid tumor' vs 'normal',-3.5,0.0000630204570504507,
