Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',-3.9,1.3524236974069e-21,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0',-3.4,2.64416241609487e-8,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-41678,'MDAMB231; cocultured with fibroblast HFF1' vs 'MDAMB231; normal',3.3,2.31408445860535e-9,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3,3.23799917355787e-7,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P01' vs '786-0; renal adenocarcinoma; P0',-2.9,3.79477646878081e-7,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',-2.6,2.76220638683741e-11,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',-2.5,1.68744090086594e-17,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.5,4.8642734837002e-7,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',-2.4,1.31832150742502e-10,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-2.4,0.00000421327251342993,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0',-2.3,3.46417882975801e-8,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',2.2,7.81462457981806e-18,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-10696,'gefitinib resistant' vs 'gefitinib sensitive',-2.2,7.21657663667111e-8,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-50627,'stem cell from lung adenocarcinoma cell' vs 'stem cell from normal lung epithelial cell',-2.1,6.91972273466416e-10,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',-2,5.4512435431941e-7,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line',-2,0.0000774767838019839,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-41678,'Cal51; cocultured with fibroblast HFF1' vs 'Cal51; normal',1.9,1.84581846661247e-9,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-6564,'RNPS1 knockdown' vs 'wild type phenotype',-1.9,1.27635292831904e-8,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-6564,'RNPS1 knockdown and rescue with RNPS1 loss of function mutant' vs 'wild type phenotype',-1.9,5.04656013188375e-8,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-40643,'recombinant human MFAP5 protein' vs 'vehicle control',-1.9,0.00000485408853084464,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',1.8,1.42550486238539e-11,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',-1.8,0.00000452919509433571,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line',-1.8,0.000144554252556334,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-40776,'expressing O6-methylguanine methyltransferase' vs 'control',1.8,0.00202079653332682,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',-1.7,0.00000177441679063996,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-37136,'transduced with HOXA1' vs 'control',1.7,0.0000423889736624377,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48433,'SW-620; adenocarcinoma of colon; P10' vs 'SW-620; adenocarcinoma of colon; P0',-1.7,0.00460546978111062,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',1.6,5.51051424532349e-38,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',-1.6,0.00000457928415459386,
ENSG00000102312,PORCN,PORCN,homo sapiens,E-GEOD-56517,'U87MG; MSCV-HOXA9' vs 'U87MG; control',-1.6,0.0392458427186984,
