Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000139174	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	7	3.47668666589068e-56	
ENSG00000139174	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	6.2	6.43648210882071e-7	
ENSG00000139174	homo sapiens	E-MTAB-5175	'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type'	3.7	5.66692761985727e-51	
ENSG00000139174	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P10' vs 'NCI-H460; large cell lung carcinoma; P0'	-3.6	4.92724874318803e-8	
ENSG00000139174	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	-3.5	4.82857809344731e-97	
ENSG00000139174	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	-3.4	1.20019777029344e-7	
ENSG00000139174	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	-3.3	2.18607244424275e-159	
ENSG00000139174	homo sapiens	E-CURD-45	'neoplasm' vs 'normal tissue adjacent to neoplasm'	3.3	4.97120811182957e-18	
ENSG00000139174	homo sapiens	E-GEOD-48433	'HCT-15; adenocarcinoma of colon; P10' vs 'HCT-15; adenocarcinoma of colon; P0'	-3.1	2.2808591551096e-9	
ENSG00000139174	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	-3.1	3.81210722005359e-9	
ENSG00000139174	homo sapiens	E-GEOD-22139	'DAOY M14; MYC overexpression' vs 'DAOY; vector control'	-3.1	0.00000916520976367189	
ENSG00000139174	homo sapiens	E-GEOD-16082	'resistant to methotrexate' vs 'sensitive to methotrexate'	-3	4.18800900227016e-8	
ENSG00000139174	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	2.9	0.00133910923632468	
ENSG00000139174	homo sapiens	E-GEOD-22139	'DAOY M2.1; MYC overexpression' vs 'DAOY; vector control'	-2.8	0.0000052090095844652	
ENSG00000139174	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	-2.8	0.000190826912254872	
