Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-5.6,9.26677192972609e-52,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.9,6.15008653599566e-12,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.7,1.41178908290579e-9,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',3.5,0.00105513097359669,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',3.4,0.0000262101270518838,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',3.4,0.000406888789295447,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',3.3,9.71723133826935e-9,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',3.2,8.80818498836668e-19,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.1,9.51701105954275e-9,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-3,0.000109526178532248,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',-2.7,7.55555360839575e-229,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',-2.6,0.0411398369196093,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.4,0.00000305290736163851,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2.4,0.00000767257075575473,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.4,0.000941511768731174,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',2.4,0.028469443134622,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-36509,'LBH589 (panobinostat)' vs 'DMSO' in 'H295R',2.1,0.00101753569876343,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-8677,'SPI1 +/-' vs 'SPI1 +/+',-2.1,0.0233041799070759,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day',-2,1.61967456196859e-22,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-37373,'suberoylanilide hydroxamic acid 10 millimolar' vs 'none',2,5.7130434090136e-7,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-8135,'neoplasm' vs 'normal tissue adjacent to neoplasm',2,0.0110910779522074,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-63569,'myelodysplastic syndrome; SF3B1 mutated K700E' vs 'normal',-2,0.0499442014379382,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-3073,'glioblastoma multiforme' vs 'normal',-1.8,1.466198399312e-33,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-3073,'oligodendroglioma' vs 'normal',-1.8,6.69381404682577e-24,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-50161,'medulloblastoma' vs 'normal',-1.8,5.18765434788967e-8,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',-1.8,0.000144843050177677,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-3073,'astrocytoma' vs 'normal',-1.7,8.58138652032624e-29,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-22866,'glioblastoma' vs 'control',-1.7,1.52742787676896e-20,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-66354,'pilocytic astrocytoma' vs 'normal',-1.7,0.00000329985023511153,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-50161,"'Astrocytoma, Pilocytic' vs 'normal'",-1.7,0.00000343764001418878,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-41586,'5-aza-deoxy-cytidine; 5 micromolar' vs 'none',1.7,0.000111304864862918,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-9207,'CFIm25 siRNA' vs 'scrambled siRNA' in 'wild type genotype',-1.6,8.63047455876337e-11,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-50161,'glioblastoma' vs 'normal',-1.6,5.99051655417481e-9,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-7079,'miR-24-3p lentiviral knockdown' vs 'wild type genotype' in 'REN',1.6,3.47966708504808e-8,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-35493,'medulloblastoma' vs 'normal',-1.6,0.00000491585790419572,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-1.6,0.000468347688111511,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-50760,'colorectal cancer metastatic in the liver' vs 'normal',1.6,0.0124357372178596,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-35493,'primitive neuroectodermal tumor' vs 'normal',-1.5,0.00073155893778443,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-10308,'ETV6-RUNX1 shRNA 1' vs 'control shRNA' at '0 hour',1.5,0.00102302103082521,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-59612,'non-enhancing margin; glioma' vs 'normal',-1.5,0.00428234534624502,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-41678,'Cal51; cocultured with fibroblast HFF1' vs 'Cal51; normal',1.4,8.55741153901041e-7,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-1.3,0.0000933392021113624,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-63776,'TCF7L2 siRNA' vs 'control',1.2,0.00000148046750008178,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-66354,'atypical teratoid/rhabdoid tumor' vs 'normal',-1.2,0.000156624678311186,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",-1.2,0.00410355549736866,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-9207,'KRAS-G13D expression' vs 'wild type genotype' in 'CFIm25 siRNA',1.1,0.0000349164574599026,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-3645,'Cisplatin' vs 'None' in 'A2780; Hypoxia',-1.1,0.0000775333525397375,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-35493,'atypical teratoid / rhabdoid tumor' vs 'normal',-1.1,0.0000863175018812901,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-10308,'ETV6-RUNX1 shRNA 2' vs 'control shRNA' at '0 hour',1.1,0.0155072460716595,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-MTAB-3645,'Hypoxia' vs 'Normoxia' in 'A2780; None',1,0.0000485778099110253,
ENSG00000126583,PRKCG,PRKCG,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour',1,0.000103089883403032,
