Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000108375	homo sapiens	E-MTAB-7745	'dexamethasone; 1 micromolar' vs 'vehicle'	-5.5	5.8485402031785e-19	
ENSG00000108375	homo sapiens	E-MTAB-7061	'BRD4 homozygous knockout' vs 'wild type'	-5.2	8.67853568465012e-9	
ENSG00000108375	homo sapiens	E-MTAB-10308	'ETV6-RUNX1 shRNA 2' vs 'control shRNA' at '168 hour'	-4.8	8.08789683099346e-81	
ENSG00000108375	homo sapiens	E-MTAB-10308	'ETV6-RUNX1 shRNA 2' vs 'control shRNA' at '0 hour'	-4.6	2.39712806797265e-83	
ENSG00000108375	homo sapiens	E-MTAB-7061	'HDAC1 homozygous knockout' vs 'wild type'	-4.4	3.47988076731663e-8	
ENSG00000108375	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue'	3.9	6.78913215119952e-7	
ENSG00000108375	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	3.7	0.000011697327048495	
ENSG00000108375	homo sapiens	E-MTAB-7061	'ATAD2 homozygous knockout' vs 'wild type'	-3.6	2.33214313468825e-7	
ENSG00000108375	homo sapiens	E-GEOD-48433	'HCT-116; colon carcinoma; P04' vs 'HCT-116; colon carcinoma; P0'	-3.3	0.00230376508007075	
ENSG00000108375	homo sapiens	E-GEOD-27473	'estrogen receptor alpha knockdown' vs 'control'	-3.2	1.51120753180794e-8	
ENSG00000108375	homo sapiens	E-GEOD-40776	'expressing O6-methylguanine methyltransferase' vs 'control'	3.2	0.0000133069937129986	
ENSG00000108375	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	-3	6.32307880336382e-26	
ENSG00000108375	homo sapiens	E-MTAB-7061	'PI4KB homozygous knockout' vs 'wild type'	-3	8.71493580340172e-7	
ENSG00000108375	homo sapiens	E-MTAB-7061	'BRD3 homozygous knockout' vs 'wild type'	-3	0.00000102109058647209	
ENSG00000108375	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	-3	0.00101483723543496	
ENSG00000108375	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	-2.9	1.292861723814e-18	
ENSG00000108375	homo sapiens	E-GEOD-19249	'colon cancer' vs 'normal' in 'colon; Fresh-frozen tissue'	2.9	4.50849475774436e-9	
ENSG00000108375	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	2.8	0.0000011027524058472	
ENSG00000108375	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Formalin-fixed paraffin-embedded tissue'	2.8	0.00000301264845005357	
ENSG00000108375	homo sapiens	E-MTAB-7061	'BRD2 homozygous knockout' vs 'wild type'	-2.7	0.0000201951001269458	
ENSG00000108375	homo sapiens	E-GEOD-61966	'501Mel; shBRG1 knockdown' vs '501Mel; control'	2.6	2.63309183035876e-155	
ENSG00000108375	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'scrambled siRNA'	2.6	1.44936141348644e-98	
ENSG00000108375	homo sapiens	E-GEOD-18105	'non metastasis; tumor' vs 'non metastasis; normal adjacent tissue'	2.6	2.72731299920338e-11	
ENSG00000108375	homo sapiens	E-GEOD-30592	'dexamethasone; 100 nanomolar' vs 'ethanol; 0.1 percent'	-2.6	0.00181035971222394	
ENSG00000108375	homo sapiens	E-MTAB-4363	'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag'	-2.5	3.63678220469077e-16	
ENSG00000108375	homo sapiens	E-GEOD-16089	'resistant to methotrexate' vs 'sensitive to methotrexate'	-2.5	5.49207841410921e-7	
ENSG00000108375	homo sapiens	E-GEOD-24592	'siERK2; estradiol' at '4 hour' vs 'siERK2; ethanol' at '4 hour'	-2.5	0.00000116970048873332	
ENSG00000108375	homo sapiens	E-GEOD-95132	'primary tumor' vs 'adjacent non-tumor colon' in 'colorectal cancer'	2.5	0.0000405309388893511	
ENSG00000108375	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'CFIm25 siRNA'	2.4	2.54440086740612e-47	
ENSG00000108375	homo sapiens	E-GEOD-76987	'colon adenocarcinoma' vs 'normal'	2.4	1.93650035118742e-36	
ENSG00000108375	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	-2.4	7.47032476165624e-19	
ENSG00000108375	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P01' vs 'A549; adenocarcinoma of lung; P0'	2.4	1.4528986129064e-9	
ENSG00000108375	homo sapiens	E-MTAB-7061	'DNMT1 homozygous knockout' vs 'wild type'	-2.4	0.00000910835733493937	
ENSG00000108375	homo sapiens	E-GEOD-18105	'metastasis; tumor' vs 'metastasis; normal adjacent tissue'	2.4	0.00110523097419283	
ENSG00000108375	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	-2.3	0.00328589855548022	
ENSG00000108375	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P04' vs 'A549; adenocarcinoma of lung; P0'	2.2	7.17074307146276e-8	
ENSG00000108375	homo sapiens	E-GEOD-26525	'geldanamycin, IC20' vs 'DMSO' at '48 hour'	2.2	0.0000313447808500626	
ENSG00000108375	homo sapiens	E-GEOD-48433	'HCT-116; colon carcinoma; P10' vs 'HCT-116; colon carcinoma; P0'	-2.2	0.0000449573708136085	
ENSG00000108375	homo sapiens	E-GEOD-18105	'metastatic recurrence; tumor' vs 'metastatic recurrence; normal adjacent tissue'	2.2	0.000953051924049477	
ENSG00000108375	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	-2.2	0.00226100724968955	
ENSG00000108375	homo sapiens	E-MTAB-7061	'BRD9 homozygous knockout' vs 'wild type'	-2.1	0.00146756624002188	
ENSG00000108375	homo sapiens	E-GEOD-19665	'cancer tissue' vs 'surrounding noncancerous tissue' in 'hepatitis C virus induced hepatocellular carcinoma'	2.1	0.0163002878048126	
ENSG00000108375	homo sapiens	E-GEOD-21422	'invasive ductal carcinoma' vs 'normal'	2.1	0.0236883215099955	
ENSG00000108375	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	-2	4.76022372220108e-49	
ENSG00000108375	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	-2	8.67400105772757e-12	
