Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',8.6,4.09226415503321e-31,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48433,'HT-29; adenocarcinoma of colon; P10' vs 'HT-29; adenocarcinoma of colon; P0',-5.3,6.18880408935563e-8,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48433,'HT-29; adenocarcinoma of colon; P04' vs 'HT-29; adenocarcinoma of colon; P0',-5.1,1.07749769980701e-10,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-5.1,0.00467305401695416,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day',-4.8,1.00079946667929e-94,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-58252,'Snail overexpression' vs 'control',4.4,0.000019442516097043,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',-4.2,1.14812163217129e-41,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-8677,'SPI1 +/-' vs 'SPI1 +/+',-3.7,0.000108805656910725,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.6,8.10943420012904e-12,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-30296,'stable expression of BRCA1' vs 'empty vector',3.6,5.04164168166788e-9,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.4,2.57666659606893e-11,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.4,1.10588902578679e-9,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48433,'A549; adenocarcinoma of lung; P10' vs 'A549; adenocarcinoma of lung; P0',-3.2,4.26111097801458e-9,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.9,7.07474342283805e-10,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48433,'HT-29; adenocarcinoma of colon; P01' vs 'HT-29; adenocarcinoma of colon; P0',-2.9,2.20286228311021e-9,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-8677,'SPI1 -/-' vs 'SPI1 +/+',-2.9,0.000905854337529583,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-5933,'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by white light' in 'buccal mucosa',-2.9,0.0197477006520421,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day',-2.8,5.24509483258799e-58,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-9712,'RRx-1; 20 micromolar' vs 'none',-2.8,4.14305632429835e-12,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P10' vs 'HOP-62; adenocarcinoma of lung; P0',-2.8,5.39350032501292e-8,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',-2.7,0,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',-2.7,9.28488573411685e-25,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',-2.7,3.49678909313181e-12,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-7307,"'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'",-2.7,5.6836968619157e-10,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P04' vs 'HOP-62; adenocarcinoma of lung; P0',-2.7,9.77579041593374e-7,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",2.7,0.00176075903414853,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-7474,'soluble LRIG1 expression' vs 'control',2.6,0.0000129179560794177,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-44077,'lung carcinoma' vs 'normal',-2.5,7.41839070578479e-32,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',2.5,2.89077717071274e-9,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-35493,'medulloblastoma' vs 'normal',2.5,0.00143303561957439,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-16082,'resistant to methotrexate' vs 'sensitive to methotrexate',2.4,2.39934230944142e-7,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MEXP-3628,'osteosarcoma' vs 'normal',2.4,0.000714493733626322,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',2.4,0.008347907557222,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-5933,'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by white light' in 'tongue',-2.4,0.0133188628303515,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-2.3,0,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',-2.3,0.000245859154673074,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.3,0.000293236620762883,
ENSG00000185483,ROR1,ROR1,homo sapiens,E-MTAB-5933,'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by narrow band imaging' in 'mouth floor',-2.3,0.00403692640776571,
