Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000101282	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	4.5	4.74330756809832e-12	
ENSG00000101282	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'CFIm25 siRNA'	4.2	7.63955273637476e-94	
ENSG00000101282	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	-3.9	0.0173672002038889	
ENSG00000101282	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	-3.5	0.00204499677466557	
ENSG00000101282	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'scrambled siRNA'	3.4	4.19315575735872e-59	
ENSG00000101282	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	-2.9	0.0152537349526698	
ENSG00000101282	homo sapiens	E-MTAB-7061	'MTF2 homozygous knockout' vs 'wild type'	2.7	0.00654545496855982	
ENSG00000101282	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	2.2	0.0296324350148678	
ENSG00000101282	homo sapiens	E-MTAB-6957	'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm'	-2.1	1.46980818623524e-10	
ENSG00000101282	homo sapiens	E-GEOD-50760	'colorectal cancer metastatic in the liver' vs 'normal'	2.1	0.0303251090652234	
ENSG00000101282	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	-2	2.36005992216024e-9	
ENSG00000101282	homo sapiens	E-MTAB-8198	'ICI 182,780; 1E-08 molar' vs 'dimethyl sulfoxide; 1E-08 molar' in 'PEO4'	-1.8	0.0148244276645732	
ENSG00000101282	homo sapiens	E-GEOD-64912	'papillary thyroid carcinoma' vs 'normal'	1.8	0.0308314480958323	
ENSG00000101282	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	1.7	0.0106095877190356	
ENSG00000101282	homo sapiens	E-GEOD-16082	'resistant to methotrexate' vs 'sensitive to methotrexate'	1.2	0.0000619299401563796	
ENSG00000101282	homo sapiens	E-GEOD-42407	'highly invasive' vs 'poorly invasive'	-1.1	0.00136271426774218	
ENSG00000101282	homo sapiens	E-MTAB-5102	'154; 1 micromolar' vs 'DMSO'	-1	0.000039458156824374	
ENSG00000101282	homo sapiens	E-MTAB-8198	'ICI 182,780; 1E-08 molar' vs 'dimethyl sulfoxide; 1E-08 molar' in 'PEO1'	-1	0.000328312064045087	
ENSG00000101282	homo sapiens	E-GEOD-37136	'transduced with HOXA1' vs 'control'	1	0.000504766829997192	
ENSG00000101282	homo sapiens	E-MTAB-9273	'SB-202190; 10 micromole per liter' vs 'dimethyl sulfoxide; 12800 micromole per liter'	-1	0.00413053128432018	
