Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000164736	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-7.4	2.52434948187966e-37	
ENSG00000164736	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-6.5	1.80741367896391e-23	
ENSG00000164736	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-6.4	1.41209680236863e-44	
ENSG00000164736	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	4.3	1.13433329804805e-10	
ENSG00000164736	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P01' vs 'A549; adenocarcinoma of lung; P0'	2.9	1.78035277648588e-7	
ENSG00000164736	homo sapiens	E-GEOD-95132	'primary tumor' vs 'adjacent non-tumor colon' in 'colorectal cancer'	-2.8	0.0000139852618428827	
ENSG00000164736	homo sapiens	E-GEOD-18842	'non-small cell lung cancer' vs 'normal'	-2.7	1.23725996274796e-25	
ENSG00000164736	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	-2.7	6.06880759146235e-23	
ENSG00000164736	homo sapiens	E-MTAB-5762	'uterine leiomyosarcoma' vs 'normal'	-2.7	0.0000068446952408068	
ENSG00000164736	homo sapiens	E-GEOD-76987	'colon adenocarcinoma' vs 'normal'	2.3	0.00000214130950135786	
ENSG00000164736	homo sapiens	E-GEOD-45042	'Human betacoronavirus 2c EMC/2012' vs 'mock' at '24 hour'	-2.3	0.0000254662970830725	
ENSG00000164736	homo sapiens	E-GEOD-21612	'xenografted parental' vs 'cultured parental' in 'serum-containing medium'	2.2	0.00858554235643806	
ENSG00000164736	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	2	0.00000129461700037747	
ENSG00000164736	homo sapiens	E-GEOD-66207	'Crohn's disease; B2, stricturing' vs 'non inflammatory bowel disease control'	-2	0.00199301335596064	
ENSG00000164736	homo sapiens	E-GEOD-18773	'side population cell' vs 'non-side population cell'	2	0.00334803425391463	
ENSG00000164736	homo sapiens	E-GEOD-19804	'primary tumor' vs 'adjacent normal tissue'	-1.9	5.45447996467051e-19	
ENSG00000164736	homo sapiens	E-MTAB-6957	'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm'	-1.9	1.26008445250282e-12	
ENSG00000164736	homo sapiens	E-GEOD-52567	'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none'	1.9	0.00000458629566921623	
ENSG00000164736	homo sapiens	E-MTAB-779	'breast carcinoma' vs 'normal'	-1.9	0.00000546634987881834	
ENSG00000164736	homo sapiens	E-GEOD-41827	'casiopeina II-gly' vs 'control'	-1.9	0.0000839689607445087	
ENSG00000164736	homo sapiens	E-GEOD-45042	'Human betacoronavirus 2c EMC/2012; 18 hour' vs 'mock; 24 hour'	-1.9	0.000108318894766581	
ENSG00000164736	homo sapiens	E-MTAB-5231	'adenocarcinoma' vs 'normal tissue adjacent to adenocarcinoma'	-1.9	0.00024981241269118	
ENSG00000164736	homo sapiens	E-MTAB-5231	'squamous cell carcinoma' vs 'normal tissue adjacent to squamous cell carcinoma'	-1.9	0.0194679383836922	
ENSG00000164736	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue'	-1.8	0.0000739948965392716	
ENSG00000164736	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'stromal cell'	1.7	0.00527373168239598	
ENSG00000164736	homo sapiens	E-MTAB-9479	'bone morphogenetic protein 2' vs 'PBS'	1.6	2.9180088094134e-19	
ENSG00000164736	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P04' vs 'A549; adenocarcinoma of lung; P0'	1.6	0.010491450732411	
ENSG00000164736	homo sapiens	E-GEOD-11151	'papillary renal cell carcinoma' vs 'normal' in 'adult'	-1.5	0.000508993675402758	
ENSG00000164736	homo sapiens	E-GEOD-38332	'Nrf2 siRNA knockdown' vs 'vehicle'	1.4	2.53541105032955e-7	
ENSG00000164736	homo sapiens	E-GEOD-38332	'Nrf2 siRNA knockdown' vs 'scrambled siRNA'	1.4	4.8889765084145e-7	
