Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-6.5,2.03619673686868e-28,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-6.4,4.29784756519786e-28,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-6,1.13331301579568e-18,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',-5.8,1.39390575413283e-9,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-4.6,7.48274543261905e-16,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-58252,'Snail overexpression' vs 'control',4.5,4.9081492125432e-8,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',4.2,0.000108444381216455,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',4.1,7.41102735442669e-32,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-12854,'PKA RII-beta over expression' vs 'wild type',4,0.0000208751670853731,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-57116,'3 h DRB 0 min 4sU' vs 'untreated',-3.7,4.88354765897808e-10,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-17636,'overexpressing NF-C2' vs 'wild type',3.5,9.98753589462819e-7,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',3.3,2.81028671645575e-7,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',3.1,3.33984636256386e-39,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-3.1,1.68666035479806e-11,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-7515,'mammosphere cell' vs 'breast tumor cell',-3,0.00000348632436634966,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-19804,'primary tumor' vs 'adjacent normal tissue',-2.8,8.33044794177217e-19,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-26966,'pituitary cancer' vs 'normal',-2.8,1.91642731719146e-8,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",2.8,0.0000684189033235946,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-5231,'adenocarcinoma' vs 'normal tissue adjacent to adenocarcinoma',-2.8,0.000960089224651149,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',-2.7,4.54793709242661e-15,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-48433,'A549; adenocarcinoma of lung; P10' vs 'A549; adenocarcinoma of lung; P0',-2.7,6.69827367168709e-9,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-42407,'highly invasive' vs 'poorly invasive',2.7,0.0000011715518251944,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-18842,'non-small cell lung cancer' vs 'normal',-2.6,8.71606238470984e-17,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P01' vs 'HOP-62; adenocarcinoma of lung; P0',-2.6,0.0133007355422632,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-57116,'3 h DRB 8 min 4sU' vs 'untreated',-2.5,4.34506294773058e-7,
ENSG00000171056,SOX7,SOX7,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',-2.4,1.11357805219822e-19,
