Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-6.2,3.89737237817782e-23,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-4,7.13675055943936e-20,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',-3.5,2.4166988320405e-64,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MTAB-7061,'BRD4 homozygous knockout' vs 'wild type',-3.4,5.92888962505216e-51,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',3.4,2.1495244258909e-18,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.3,4.22139190658417e-12,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MTAB-9767,"after autologous stem cell transplantation vs ""before autologous stem cell transplantation""",-3.3,0.00249199647230955,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',3.2,3.95076790413756e-16,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.1,6.44828645317491e-12,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-63252,'p53KO; BREFELDIN A' vs 'p53KO; control',-3,0.0223038745940393,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',2.9,5.19858264902574e-8,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.6,3.00520188175588e-10,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-2.6,3.44698170668407e-7,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-51415,'tongue squamous cell carcinoma' vs 'normal' in 'vehicle',-2.6,0.00000254036197863473,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-22334,'cells p16-transfected' vs 'control',-2.5,0.0000393431106532162,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'ISRIB (trans-isomer); 2.5 milligram per kilogram',-2.5,0.0470283144237969,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MTAB-5243,'ZEB1 knockout' vs 'wild type',2.4,2.60575936628548e-19,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-2.4,7.1314934870162e-12,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',2.4,9.72641709502624e-11,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.4,0.000044254397666413,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',2.4,0.000377849020635982,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MEXP-2351,'subependymal giant cell astrocytoma' vs 'normal',-2.3,0.0252001016550077,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-27473,'estrogen receptor alpha knockdown' vs 'control',-2.2,1.07843513970856e-7,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2.2,9.2288327563839e-7,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-42407,'highly invasive' vs 'poorly invasive',-2.2,0.00000121207905084157,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-MTAB-7886,'SPRY1 knockdown by siRNA' vs 'none',2.2,0.00000140758853746271,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-58252,'Snail overexpression' vs 'control',-2.2,0.00000165937186978793,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-2.1,0.000012483827275264,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-63252,'wild type; BREFELDIN A' vs 'wild type; control',-2.1,0.00035560591223107,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-58379,'expression of wild type RBM47' vs 'empty vector',2,6.51362626343838e-9,
ENSG00000065717,TLE2,TLE2,homo sapiens,E-GEOD-52707,'SKR6CA cells with constitutively active NF-kappaB relA/p65' vs 'SKR6 empty vector cells',2,7.73955125226943e-7,
