Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000221983	homo sapiens	E-MTAB-8444	'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'HIV-1' at '30 hour'	1.8	0.000113017416064545	
ENSG00000221983	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-1.8	0.000461895524378909	
ENSG00000221983	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	1.6	0.0012087522343756	
ENSG00000221983	homo sapiens	E-MTAB-6401	'high Twist expression; weak Slug expression' vs 'low Twist expression; strong Slug expression' in 'unspecified peripheral T-cell lymphoma'	-1.6	0.0397134193980634	
ENSG00000221983	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	1.5	9.5293255987352e-279	
ENSG00000221983	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	1.5	1.28671195981341e-57	
ENSG00000221983	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	1.4	2.73705431659898e-49	
ENSG00000221983	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '60 hour'	-1.4	0.0000100715628652804	
ENSG00000221983	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.4	0.00119772984502956	
ENSG00000221983	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.4	0.0036298004973667	
ENSG00000221983	homo sapiens	E-MTAB-6401	'high Twist expression; weak Slug expression' vs 'low Twist expression; strong Slug expression' in 'angioimmunoblastic T-cell lymphoma'	-1.4	0.0130791022018551	
ENSG00000221983	homo sapiens	E-GEOD-48121	'GLV-1h153' at '24 hour' vs 'control'	-1.3	4.08897393354095e-7	
ENSG00000221983	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '54 hour'	-1.3	0.000104890286152005	
ENSG00000221983	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P10' vs 'HCC-2998; colon carcinoma; P0'	-1.3	0.00246361767670222	
ENSG00000221983	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P04' vs 'HCC-2998; colon carcinoma; P0'	-1.3	0.0266617702165166	
ENSG00000221983	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	-1.2	2.34445034215781e-11	
ENSG00000221983	homo sapiens	E-GEOD-63452	'6 hour' vs '0 hour' in 'MCF-10A'	1.2	1.01726618669943e-7	
ENSG00000221983	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '48 hour'	-1.2	0.0000193687890251622	
ENSG00000221983	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani' vs 'mock' at '54 hour'	-1.2	0.00257538341028543	
ENSG00000221983	homo sapiens	E-GEOD-6691	'multiple myeloma' vs 'normal' in 'plasma cells'	1.2	0.00412836897812128	
ENSG00000221983	homo sapiens	E-GEOD-10797	'stromal cell; invasive breast cancer' vs 'epithelial cell; invasive breast cancer'	-1.2	0.00427420505922774	
ENSG00000221983	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	1.1	7.46297040732527e-17	
ENSG00000221983	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani' vs 'mock' at '36 hour'	-1.1	0.0000132522071738919	
ENSG00000221983	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani' vs 'mock' at '48 hour'	-1.1	0.0000359022245550663	
ENSG00000221983	homo sapiens	E-MTAB-7169	'lipid; 10 volume percent' vs 'control'	-1.1	0.0000554350717800647	
ENSG00000221983	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '72 hour'	-1.1	0.0000642291183320204	
ENSG00000221983	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	-1	3.49215197875335e-138	
ENSG00000221983	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	1	0.0000256216692372436	
