Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-12854,'PKA RI-alpha over expression' vs 'wild type',8.4,6.30726888651449e-7,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-12854,'PKA RII-beta over expression' vs 'wild type',8.2,1.83988521217325e-7,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-66173,'COX-1 knockdown' vs 'wild type',2.5,2.94892120807185e-26,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'epithelial cell',-2.4,0.00677460337595975,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',2.3,7.18846655214345e-102,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-9207,'KRAS-G13D expression' vs 'wild type genotype' in 'CFIm25 siRNA',-2.3,9.20576757886658e-10,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',2,6.49008231983436e-72,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-2349,'heat shock' vs 'untreated',1.9,1.96048662581759e-149,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-9207,'KRAS-G13D expression' vs 'wild type genotype' in 'scrambled siRNA',-1.9,0.00000679964389293459,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-10797,'stromal cell; invasive breast cancer' vs 'epithelial cell; invasive breast cancer',-1.7,0.00140373403185628,
ENSG00000170315,UBB,UBB,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',-1.6,0.000314011458513733,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-33294,'liver tumor' vs 'adjacent non-tumor tissue',-1.4,0.00395315276880753,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',1.3,0,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',1.3,1.28144544033272e-110,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',1.3,3.47896028806868e-33,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to N terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',1.2,1.32152237225304e-89,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',1.2,1.71738587128548e-21,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A',1.2,1.38626278725674e-14,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-21354,'astrocytic glioma' vs 'normal',-1.2,0.0356565644598058,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',-1.1,3.44198087701689e-122,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-MB-231',1.1,1.08022779131187e-50,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',1.1,3.31500571730041e-7,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-63452,'6 hour' vs '0 hour' in 'MCF-10A',1.1,9.597700799942e-7,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-1.1,0.000361682636971723,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-28542,'10 nanomolar 17beta-estradiol and 5 micromolar CG-1521' vs 'vehicle' in 'SUM190PT',1.1,0.00141002076238485,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-28542,'5 micromolar CG-1521' vs 'vehicle' in 'SUM190PT',1.1,0.00163124277040246,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-6087,'hypoxia' vs 'normoxia' in '93T449',-1.1,0.0135920217762149,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-57116,'3 h DRB 8 min 4sU' vs 'untreated',1.1,0.024300171211539,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-9712,'RRx-1; 20 micromolar' vs 'none',1,2.71689482358715e-152,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-7847,'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7',-1,6.57805123988319e-95,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',1,2.41828830414174e-11,
ENSG00000170315,UBB,UBB,homo sapiens,E-MTAB-3082,'hypoxia' vs 'normoxia' in 'NCH421k' at '7 day',-1,0.0047205173533182,
ENSG00000170315,UBB,UBB,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',1,0.0240696053254418,
