Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-7.3,3.05389423304685e-23,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-35493,'medulloblastoma' vs 'normal',-5.8,7.77104648800471e-9,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-44077,'lung carcinoma' vs 'normal',-5.7,1.57480097227123e-49,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-5.5,9.61274203283109e-30,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-43767,'lung adenocarcinoma' vs 'normal' in 'adult',-5.4,1.857535322177e-18,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-7061,'RIPK2 homozygous knockout' vs 'wild type',5.3,5.40696252537831e-10,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-54002,'breast cancer' vs 'normal',-5.2,8.86194810839173e-49,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-5.2,0.000011131095040189,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-4.9,0.000719479979349713,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',4.7,0.000115945990936941,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-22866,'glioblastoma' vs 'control',-4.6,1.29478590173606e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-35493,'primitive neuroectodermal tumor' vs 'normal',-4.6,0.0000554457711362441,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-21354,'astrocytic glioma' vs 'normal',-4.6,0.00263091264558316,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-4.5,2.52086285068243e-17,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-50161,'medulloblastoma' vs 'normal',-4.4,0.00000211213530900394,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-18842,'non-small cell lung cancer' vs 'normal',-4.3,6.4767547971356e-16,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-4.3,2.79844843967635e-14,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MEXP-2351,'subependymal giant cell astrocytoma' vs 'normal',-4.3,0.000897477606275694,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-55541,'CA-PDGFRA + sh-p53' vs 'mock',-4.3,0.0142948154020887,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-43458,'smoker; lung adenocarcinoma' vs 'never smoked; normal',-4.1,2.96253965979339e-13,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",-4,0.0138929116572843,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-44077,'non-small cell lung carcinoma' vs 'normal',-3.9,4.4986621750934e-41,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-3.9,0.00811707312229874,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',-3.8,2.12475637904197e-23,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-19804,'primary tumor' vs 'adjacent normal tissue',-3.8,6.06586133290149e-15,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-38959,'breast cancer; breast' vs 'normal; breast',-3.8,0.0000330927270984819,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-21354,'oligodendroglioma' vs 'normal',-3.8,0.048141344755669,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-45581,'non-inflammatory breast cancer' vs 'normal',-3.7,3.79802389162343e-10,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',-3.7,1.75885981430677e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3073,'glioblastoma multiforme' vs 'normal',-3.6,9.62509565456899e-19,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-45581,'inflammatory breast cancer' vs 'normal',-3.6,4.16389688048895e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-50161,'glioblastoma' vs 'normal',-3.6,0.0000108797427231715,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-TABM-15,'cancer' vs 'normal',-3.6,0.000031104458086244,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MEXP-231,'lung adenocarcinoma' vs 'normal',-3.6,0.0000817252818823314,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-10780,'breast carcinoma' vs 'normal',-3.5,1.37628366643063e-22,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3073,'astrocytoma' vs 'normal',-3.5,4.84484019173272e-19,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3073,'oligodendroglioma' vs 'normal',-3.5,1.49493162163762e-14,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-3.4,0.0000275777423338876,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-16873,'ductal carcinoma in situ' vs 'histologically normal',-3.4,0.00193904626402044,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-TABM-15,'cancerous' vs 'normal',-3.3,4.90138958877798e-12,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-43458,'never smoked; lung adenocarcinoma' vs 'never smoked; normal',-3.2,1.70323235208527e-10,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-55541,'CA-PDGFRA + sh-p53 + H3.3-K27M' vs 'mock',-3.2,0.0109364450549165,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.1,1.23278402938243e-8,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-5231,'adenocarcinoma' vs 'normal tissue adjacent to adenocarcinoma',-2.8,0.0217609128811244,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',-2.7,0.0122854046859158,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',2.6,0.00799400928130076,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-7061,'UCHL1 homozygous knockout' vs 'wild type',2.6,0.038844320788078,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.4,6.16707195118648e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-63569,'myelodysplastic syndrome; SF3B1 mutated K700E' vs 'normal',-2.4,0.0152707110978454,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MEXP-567,'glioblastoma' vs 'normal',-2.3,0.00176449344440607,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-50161,"'Astrocytoma, Pilocytic' vs 'normal'",-2.3,0.0150671747420428,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-66354,'pilocytic astrocytoma' vs 'normal',-2.2,0.0156135002804511,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-18105,'non metastasis; tumor' vs 'non metastasis; normal adjacent tissue',2.2,0.0334580894081192,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-3325,'metastatic prostate cancer' vs 'benign prostate tumor',-2.2,0.0335057465231096,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2.1,0.0000388936907777844,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.1,0.00117262552031025,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-50760,'colorectal cancer metastatic in the liver' vs 'normal',2,0.0168825710779432,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; None',1.9,1.41345025926922e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',-1.9,0.00218947889445073,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-26966,'pituitary cancer' vs 'normal',-1.9,0.0105337772647185,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-63816,'myelodysplastic syndrome; ZRSR2 mutant' vs 'normal',1.9,0.0146015088639238,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-16873,'atypical ductal hyperplasia' vs 'histologically normal',-1.8,0.0425340108607837,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3645,'Cisplatin' vs 'None' in 'A2780cis; Hypoxia',-1.7,0.00000332185395054793,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-567,'tumor tissue' vs 'adjacent non-tumor tissue',-1.7,0.00006981122252724,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; Cisplatin',1.7,0.000128070066503755,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-46493,'doxorubicin; 0.6 microgram per milliliter' vs 'none',1.6,2.90980411051366e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-7847,'AD80; 0.05 micromolar' vs 'vehicle' in 'HuH-7',1.5,3.15680866476991e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-7354,'7 day' vs '3 day' in 'hypoxia',-1.5,0.0000402743704061445,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; None',1.4,0.00000138655362765869,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)',-1.4,0.000126208852910552,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3645,'Cisplatin' vs 'None' in 'A2780; Hypoxia',-1.4,0.000260948226516167,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-19249,'colon cancer' vs 'normal' in 'colon; Fresh-frozen tissue',-1.3,0.000476314013275403,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-52308,'tamoxifen induced expression of TwistER' vs 'control',1.3,0.000494262797479595,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-7354,'hypoxia' vs 'normoxia' at '7 day',-1.3,0.00518780563815001,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-5021,'peripheral zone of prostate' vs 'transition zone of prostate' in 'benign',-1.3,0.0105685591461979,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-21422,'invasive ductal carcinoma' vs 'normal',-1.3,0.0327860879960009,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-TABM-282,'clear cell renal carcinoma' vs 'normal',-1.2,5.52881772682119e-7,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-53757,'tumor' vs 'normal' in 'stage 3',-1.2,0.0000022349470102322,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-30784,'oral squamous cell carcinoma' vs 'normal',-1.2,0.0000271671153791208,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-53757,'tumor' vs 'normal' in 'stage 1',-1.1,0.00000163770948698258,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MTAB-3645,'Hypoxia' vs 'Normoxia' in 'A2780cis; None',1.1,0.0000190688945700839,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-MEXP-2447,'200 nanogram per milliliter cortisol' vs 'none',-1.1,0.0196817882759485,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-22139,'DAOY M14; MYC overexpression' vs 'DAOY; wild type',1.1,0.0404823045858092,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-53757,'tumor' vs 'normal' in 'stage 2',-1,0.000621665885064525,
ENSG00000156076,WIF1,WIF1,homo sapiens,E-GEOD-23952,'TGF-beta treated 48 hr' vs 'untreated',-1,0.00214949246539773,
