Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000169884	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	5.1	2.72386548237553e-11	
ENSG00000169884	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-4.7	3.87319872834808e-40	
ENSG00000169884	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	4.6	3.87900640810375e-29	
ENSG00000169884	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	4.5	1.97278220854393e-8	
ENSG00000169884	homo sapiens	E-GEOD-63452	'6 hour' vs '0 hour' in 'MCF-10A-H1047R'	4.3	1.14147698741372e-33	
ENSG00000169884	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	-3.9	3.04840673487429e-30	
ENSG00000169884	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	3.8	3.2854709958414e-17	
ENSG00000169884	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.8	1.30042062982767e-12	
ENSG00000169884	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-3.8	0.00174531831420306	
ENSG00000169884	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	3.6	1.93642983791659e-8	
ENSG00000169884	homo sapiens	E-GEOD-22866	'glioblastoma' vs 'control'	-3.5	1.4298190236491e-14	
ENSG00000169884	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-3.5	2.00145814125569e-12	
ENSG00000169884	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	3.4	7.89303041040323e-19	
ENSG00000169884	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	3.3	1.04096566585674e-8	
ENSG00000169884	homo sapiens	E-MTAB-7884	'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (200 micromolar)'	-3.2	0.0150435821168843	
ENSG00000169884	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 1 day' vs 'dimethyl sulfoxide; 1 day'	-3.1	2.90622146743913e-11	
ENSG00000169884	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-3.1	1.58073551503581e-10	
ENSG00000169884	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	-3	0.000510719100493117	
ENSG00000169884	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day'	-2.9	1.06920343855426e-10	
ENSG00000169884	homo sapiens	E-GEOD-63452	'6 hour' vs '0 hour' in 'MCF-10A'	2.8	9.97165981050122e-16	
ENSG00000169884	homo sapiens	E-GEOD-66173	'COX-1 knockdown' vs 'wild type'	-2.7	9.33187920934189e-295	
ENSG00000169884	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	-2.7	0.000102099127660491	
