Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-3.9,0.00988620659471908,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.8,1.70261966451721e-11,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',3.7,6.25696525909934e-7,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-55048,'tumor' vs 'paratumoral tissue',-3.6,0.0000379369912670047,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.5,6.2844691638439e-10,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-44077,'lung carcinoma' vs 'normal',3.3,2.54049619600868e-51,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',3.2,0.000261802807537532,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-7039,'neoplasm' vs 'normal tissue adjacent to tumour',-3,1.00209822716999e-8,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day',2.8,1.60432982217677e-25,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day',2.8,4.64597200123266e-24,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-2.8,0.00000256553411233027,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-2.8,0.00000268590346399231,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-2.8,0.00000681119207146256,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',-2.7,6.33224756522477e-30,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-45757,'L3.6pl; CI-1040; 2 millimolar' vs 'L3.6pl; vehicle; ',2.5,0.0000055201661833886,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-23930,'lethal factor (anthrax toxin)' vs 'lacZ',2.4,0.000143385142484507,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.4,0.00194087529062349,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-7681,'Candida albicans' vs 'none' at '24 hour',-2.3,1.77113575824622e-7,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',2.3,0.0257802114506976,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',2.2,9.7347355468409e-8,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-5762,'uterine leiomyosarcoma' vs 'normal',-2.2,0.000573285739954382,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',-2.1,2.75813991704991e-12,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-57116,'3 h DRB 8 min 4sU' vs 'untreated',-2.1,0.00220798333632059,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-2.1,0.00467210137357746,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-MTAB-7079,'miR-24-3p lentiviral knockdown' vs 'wild type genotype' in 'REN',2,6.80901269493673e-11,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-52707,'SKR6CA cells with constitutively active NF-kappaB relA/p65' vs 'SKR6 empty vector cells',2,3.3773473815232e-7,
ENSG00000162552,WNT4,WNT4,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-2,0.00140003218605377,
