Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000061492	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	5.5	0	
ENSG00000061492	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	3.8	0.0110851497532148	
ENSG00000061492	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.7	5.99783416158078e-9	
ENSG00000061492	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	-3.6	0.026686982972787	
ENSG00000061492	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-3.1	3.83475370892542e-16	
ENSG00000061492	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-2.5	0.0000759558943242542	
ENSG00000061492	homo sapiens	E-GEOD-59234	'SOX2 siRNA' vs 'negative control' in '2102Ep'	2.4	1.83111048373649e-7	
ENSG00000061492	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.4	0.0000150541616942675	
ENSG00000061492	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.4	0.000157490033698666	
ENSG00000061492	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-2.2	0.0000753144326720575	
ENSG00000061492	homo sapiens	E-GEOD-59612	'non-enhancing margin; glioma' vs 'normal'	-1.4	0.000609779179233316	
ENSG00000061492	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	1.2	0.00136504683295197	
