Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-4.5,3.0565718212297e-17,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-4.2,7.98871450557576e-16,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.8,3.37960809248301e-12,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-3.3,0.00000486776358760495,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-3.3,0.0000120681753619468,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-7847,'AD80; 0.05 micromolar' vs 'vehicle' in 'HuH-7',3.1,2.60281813086228e-17,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',2.9,0.000517818341618797,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (200 micromolar)',2.7,0.000858494989066202,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-2.5,0.000851522286725427,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',2.2,0.0327241687401126,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.1,0.00000520641613760532,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-1.9,0.000064410876261094,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',-1.9,0.0108415640849326,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-8444,'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'HIV-1' at '42 hour',-1.8,0.0158330324542024,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-76987,'colon adenocarcinoma' vs 'normal',1.7,0.0181618072839904,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',1.6,0.00116641342768119,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)',1.4,0.00571200823681564,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-7284,'TIGAR knockdown' vs 'wild type',1.4,0.0405065623543688,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-1.3,0.00509994109445481,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-MTAB-3021,'PRPF8' vs 'control',-1.2,0.0000784484917171842,
ENSG00000075290,WNT8B,WNT8B,homo sapiens,E-GEOD-29598,"'formalin-fixed,parafin-embedded xenograft; messageAmp Premier methodology' vs 'fresh-frozen xenograft; normal'",1,5.82945931762816e-13,
