Uniprot ID,Protein Name,URL,,,,,,,,,,,,,,,,,,
Q5T9L3,WLS,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WLS%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O75436,VPS26A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22VPS26A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UBQ0,VPS29,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22VPS29%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q96QK1,VPS35,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22VPS35%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O60493,SNX3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22SNX3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O96014,WNT11,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT11%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P09544,WNT2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UBV4,WNT16,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT16%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q93098,WNT8B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT8B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O14905,WNT9B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT9B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9H1J5,WNT8A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT8A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9GZT5,WNT10A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT10A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q93097,WNT2B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT2B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O14904,WNT9A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT9A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O00744,WNT10B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22WNT10B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
